nama_satker,status_umumkan_rup,asal_dana,jenis_klpd,asal_dana_satker,kd_kegiatan,kd_satker_str,tahun_anggaran_dana,kd_subkegiatan,jenis_dana_apbn,kd_komponen,kd_rup_lokal,id_paket_anggaran_penyedia,kd_klpd,status_aktif_rup,tahun_anggaran,asal_dana_klpd,pagu,sumber_dana,kd_rup,mak,nama_klpd,kd_satker,status_delete_rup,last_update_ref
Balai Pelatihan Vokasi dan Produktivitas Banda Aceh,Terumumkan,K34,KEMENTERIAN,Balai Pelatihan Vokasi dan Produktivitas Banda Aceh,13683443,065106,2026,,RUPIAH MURNI,5248368,,590033506,K34,true,2026,Kementerian Ketenagakerjaan,162000000,APBN,65568319,DL.4057.SCO.003.051.0A.521211,Kementerian Ketenagakerjaan,14116,false,5809f591-04b2-541e-98c2-10c00ec3f078.5-3tDSuqNHOOOhjN.jBSXMYnlS6zEYXSkWu5rwFQSUYFNFvSvOz7Qzi3430I
DITJEN. PEMBINAAN HUBUNGAN INDUSTRIAL DAN JAMINAN SOSIAL TENAGA KERJA,Terumumkan,K34,KEMENTERIAN,DITJEN. PEMBINAAN HUBUNGAN INDUSTRIAL DAN JAMINAN SOSIAL TENAGA KERJA,13668983,451270,2026,,PNBP,5228571,,588631742,K34,true,2026,Kementerian Ketenagakerjaan,500000,APBN,65232692,DN.6586.UAC.001.051.0E.521211,Kementerian Ketenagakerjaan,14076,false,5809f591-04b2-541e-98c2-10c00ec3f078.5-3tDSuqNHOOOhjN.jBSXMYnlS6zEYXSkWu5rwFQSUYFNFvSvOz7Qzi3430I
Balai Pelatihan Vokasi dan Produktivitas Bandung Barat,Terumumkan,K34,KEMENTERIAN,Balai Pelatihan Vokasi dan Produktivitas Bandung Barat,13622151,021212,2026,,RUPIAH MURNI,5171854,,601982257,K34,true,2026,Kementerian Ketenagakerjaan,20160000,APBN,67640537,DL.4057.SCO.003.051.0B.521211,Kementerian Ketenagakerjaan,94422,false,5809f591-04b2-541e-98c2-10c00ec3f078.5-3tDSuqNHOOOhjN.jBSXMYnlS6zEYXSkWu5rwFQSUYFNFvSvOz7Qzi3430I
Balai Besar Pelatihan Vokasi dan Produktivitas Semarang,Terumumkan,K34,KEMENTERIAN,Balai Besar Pelatihan Vokasi dan Produktivitas Semarang,13680526,452609,2026,,RUPIAH MURNI,5244788,,579096172,K34,true,2026,Kementerian Ketenagakerjaan,207000000,APBN,62803988,DL.4057.SCO.003.051.0B.521211,Kementerian Ketenagakerjaan,141978,false,5809f591-04b2-541e-98c2-10c00ec3f078.5-3tDSuqNHOOOhjN.jBSXMYnlS6zEYXSkWu5rwFQSUYFNFvSvOz7Qzi3430I
Balai Pelatihan Vokasi dan Produktivitas Surakarta,Terumumkan,K34,KEMENTERIAN,Balai Pelatihan Vokasi dan Produktivitas Surakarta,13587248,035636,2026,,RUPIAH MURNI,5108534,,576194872,K34,true,2026,Kementerian Ketenagakerjaan,5712000,APBN,62084575,DL.4057.SCO.003.054.0A.521219,Kementerian Ketenagakerjaan,14114,false,5809f591-04b2-541e-98c2-10c00ec3f078.5-3tDSuqNHOOOhjN.jBSXMYnlS6zEYXSkWu5rwFQSUYFNFvSvOz7Qzi3430I
Balai Pelatihan Vokasi dan Produktivitas Ambon,Terumumkan,K34,KEMENTERIAN,Balai Pelatihan Vokasi dan Produktivitas Ambon,13818126,219228,2026,,PNBP,5295898,,593208105,K34,true,2026,Kementerian Ketenagakerjaan,3000000,APBN,66257989,DL.4057.SCO.046.051.0A.521219,Kementerian Ketenagakerjaan,82643,false,5809f591-04b2-541e-98c2-10c00ec3f078.5-3tDSuqNHOOOhjN.jBSXMYnlS6zEYXSkWu5rwFQSUYFNFvSvOz7Qzi3430I
Balai Besar Pelatihan Vokasi dan Produktivitas Makassar,Terumumkan,K34,KEMENTERIAN,Balai Besar Pelatihan Vokasi dan Produktivitas Makassar,13834096,452652,2026,,RUPIAH MURNI,5299591,,593983293,K34,true,2026,Kementerian Ketenagakerjaan,99000000,APBN,66400075,DL.4057.SCO.003.052.0B.521211,Kementerian Ketenagakerjaan,14123,false,5809f591-04b2-541e-98c2-10c00ec3f078.5-3tDSuqNHOOOhjN.jBSXMYnlS6zEYXSkWu5rwFQSUYFNFvSvOz7Qzi3430I
Balai Pelatihan Vokasi dan Produktivitas Sidoarjo,Terumumkan,K34,KEMENTERIAN,Balai Pelatihan Vokasi dan Produktivitas Sidoarjo,13675181,050302,2026,,RUPIAH MURNI,5238731,,592590228,K34,true,2026,Kementerian Ketenagakerjaan,10400000,APBN,66128308,DL.4057.SCO.013.062.0A.521811,Kementerian Ketenagakerjaan,152933,false,5809f591-04b2-541e-98c2-10c00ec3f078.5-3tDSuqNHOOOhjN.jBSXMYnlS6zEYXSkWu5rwFQSUYFNFvSvOz7Qzi3430I
Balai Pelatihan Vokasi dan Produktivitas Bandung Barat,Terumumkan,K34,KEMENTERIAN,Balai Pelatihan Vokasi dan Produktivitas Bandung Barat,13622152,021212,2026,,PNBP,5171870,,579166927,K34,true,2026,Kementerian Ketenagakerjaan,2000000,APBN,62827403,DL.4059.SCO.002.051.0B.521211,Kementerian Ketenagakerjaan,94422,false,5809f591-04b2-541e-98c2-10c00ec3f078.5-3tDSuqNHOOOhjN.jBSXMYnlS6zEYXSkWu5rwFQSUYFNFvSvOz7Qzi3430I
Ditjen Pembinaan Penempatan Tenaga Kerja dan Perluasan Kesempatan Kerja,Terumumkan,K34,KEMENTERIAN,Ditjen Pembinaan Penempatan Tenaga Kerja dan Perluasan Kesempatan Kerja,13671005,451139,2026,,RUPIAH MURNI,5231730,,583516647,K34,true,2026,Kementerian Ketenagakerjaan,57000000,APBN,63925125,DN.7907.QDC.001.051.0B.521211,Kementerian Ketenagakerjaan,14069,false,5809f591-04b2-541e-98c2-10c00ec3f078.5-3tDSuqNHOOOhjN.jBSXMYnlS6zEYXSkWu5rwFQSUYFNFvSvOz7Qzi3430I
Balai Pelatihan Vokasi dan Produktivitas Lombok Timur,Terumumkan,K34,KEMENTERIAN,Balai Pelatihan Vokasi dan Produktivitas Lombok Timur,13777688,230302,2026,,RUPIAH MURNI,5284588,,581457218,K34,true,2026,Kementerian Ketenagakerjaan,25920000,APBN,63390806,DL.4057.SCO.030.057.0B.521211,Kementerian Ketenagakerjaan,94650,false,5809f591-04b2-541e-98c2-10c00ec3f078.5-3tDSuqNHOOOhjN.jBSXMYnlS6zEYXSkWu5rwFQSUYFNFvSvOz7Qzi3430I
Balai Perluasan Kesempatan Kerja Kendari,Terumumkan,K34,KEMENTERIAN,Balai Perluasan Kesempatan Kerja Kendari,13973819,690633,2026,,PNBP,5357450,,593925620,K34,true,2026,Kementerian Ketenagakerjaan,0,APBN,66383622,DN.2175.BDC.004.051.0A.521211,Kementerian Ketenagakerjaan,161828,false,5809f591-04b2-541e-98c2-10c00ec3f078.5-3tDSuqNHOOOhjN.jBSXMYnlS6zEYXSkWu5rwFQSUYFNFvSvOz7Qzi3430I
DITJEN. PEMBINAAN HUBUNGAN INDUSTRIAL DAN JAMINAN SOSIAL TENAGA KERJA,Terumumkan,K34,KEMENTERIAN,DITJEN. PEMBINAAN HUBUNGAN INDUSTRIAL DAN JAMINAN SOSIAL TENAGA KERJA,13668982,451270,2026,,PNBP,5228561,,593249488,K34,true,2026,Kementerian Ketenagakerjaan,4500000,APBN,66262995,DN.5586.BDC.002.054.0A.521211,Kementerian Ketenagakerjaan,14076,false,5809f591-04b2-541e-98c2-10c00ec3f078.5-3tDSuqNHOOOhjN.jBSXMYnlS6zEYXSkWu5rwFQSUYFNFvSvOz7Qzi3430I
Inspektorat Jenderal,Terumumkan,K34,KEMENTERIAN,Inspektorat Jenderal,13685776,259031,2026,,RUPIAH MURNI,5251847,,591481968,K34,true,2026,Kementerian Ketenagakerjaan,3000000,APBN,65900155,WA.2168.EBD.965.053.0C.521211,Kementerian Ketenagakerjaan,14068,false,5809f591-04b2-541e-98c2-10c00ec3f078.5-3tDSuqNHOOOhjN.jBSXMYnlS6zEYXSkWu5rwFQSUYFNFvSvOz7Qzi3430I
Inspektorat Jenderal,Terumumkan,K34,KEMENTERIAN,Inspektorat Jenderal,13685776,259031,2026,,RUPIAH MURNI,5251846,,591481228,K34,true,2026,Kementerian Ketenagakerjaan,960000,APBN,65899966,WA.2168.EBD.965.052.0E.521211,Kementerian Ketenagakerjaan,14068,false,5809f591-04b2-541e-98c2-10c00ec3f078.5-3tDSuqNHOOOhjN.jBSXMYnlS6zEYXSkWu5rwFQSUYFNFvSvOz7Qzi3430I
Ditjen Pembinaan Penempatan Tenaga Kerja dan Perluasan Kesempatan Kerja,Terumumkan,K34,KEMENTERIAN,Ditjen Pembinaan Penempatan Tenaga Kerja dan Perluasan Kesempatan Kerja,13671006,451139,2026,,RUPIAH MURNI,5231739,,583867877,K34,true,2026,Kementerian Ketenagakerjaan,3000000,APBN,63991099,WA.6621.EBD.955.051.AC.521211,Kementerian Ketenagakerjaan,14069,false,5809f591-04b2-541e-98c2-10c00ec3f078.5-3tDSuqNHOOOhjN.jBSXMYnlS6zEYXSkWu5rwFQSUYFNFvSvOz7Qzi3430I
Balai Pelatihan Vokasi dan Produktivitas Bandung Barat,Terumumkan,K34,KEMENTERIAN,Balai Pelatihan Vokasi dan Produktivitas Bandung Barat,13622151,021212,2026,,RUPIAH MURNI,5171855,,602367656,K34,true,2026,Kementerian Ketenagakerjaan,6400000,APBN,67700170,DL.4057.SCO.003.052.ZB.521211,Kementerian Ketenagakerjaan,94422,false,5809f591-04b2-541e-98c2-10c00ec3f078.5-3tDSuqNHOOOhjN.jBSXMYnlS6zEYXSkWu5rwFQSUYFNFvSvOz7Qzi3430I
Balai Pelatihan Vokasi dan Produktivitas Kendari,Terumumkan,K34,KEMENTERIAN,Balai Pelatihan Vokasi dan Produktivitas Kendari,13618810,209255,2026,,RUPIAH MURNI,5167641,,577939038,K34,true,2026,Kementerian Ketenagakerjaan,440000,APBN,62440148,DL.4057.SCO.028.051.0B.521211,Kementerian Ketenagakerjaan,14127,false,5809f591-04b2-541e-98c2-10c00ec3f078.5-3tDSuqNHOOOhjN.jBSXMYnlS6zEYXSkWu5rwFQSUYFNFvSvOz7Qzi3430I
SEKRETARIAT JENDERAL KEMNAKER,Terumumkan,K34,KEMENTERIAN,SEKRETARIAT JENDERAL KEMNAKER,13599601,450938,2026,,PNBP,5136483,,593702385,K34,true,2026,Kementerian Ketenagakerjaan,2800000,APBN,66331639,WA.2158.EBD.955.052.0Q.521211,Kementerian Ketenagakerjaan,14054,false,5809f591-04b2-541e-98c2-10c00ec3f078.5-3tDSuqNHOOOhjN.jBSXMYnlS6zEYXSkWu5rwFQSUYFNFvSvOz7Qzi3430I
Balai Besar Keselamatan dan Kesehatan Kerja Jakarta,Terumumkan,K34,KEMENTERIAN,Balai Besar Keselamatan dan Kesehatan Kerja Jakarta,13592110,350084,2026,,PNBP,5122914,,592694168,K34,true,2026,Kementerian Ketenagakerjaan,20000000,APBN,66149100,DN.6592.QAC.001.051.0I.521211,Kementerian Ketenagakerjaan,101569,false,5809f591-04b2-541e-98c2-10c00ec3f078.5-3tDSuqNHOOOhjN.jBSXMYnlS6zEYXSkWu5rwFQSUYFNFvSvOz7Qzi3430I
Balai Keselamatan dan Kesehatan Kerja Makassar,Terumumkan,K34,KEMENTERIAN,Balai Keselamatan dan Kesehatan Kerja Makassar,13931429,350082,2026,,RUPIAH MURNI,5337730,,593109577,K34,true,2026,Kementerian Ketenagakerjaan,223200000,APBN,66238194,WA.6622.EBA.994.002.0A.522111,Kementerian Ketenagakerjaan,94797,false,5809f591-04b2-541e-98c2-10c00ec3f078.5-3tDSuqNHOOOhjN.jBSXMYnlS6zEYXSkWu5rwFQSUYFNFvSvOz7Qzi3430I
Balai Besar Pelatihan Vokasi dan Produktivitas Serang,Terumumkan,K34,KEMENTERIAN,Balai Besar Pelatihan Vokasi dan Produktivitas Serang,13622795,426531,2026,,RUPIAH MURNI,5172967,,591991723,K34,true,2026,Kementerian Ketenagakerjaan,4500000,APBN,66013392,DL.4057.SCO.003.071.0C.522151,Kementerian Ketenagakerjaan,14130,false,5809f591-04b2-541e-98c2-10c00ec3f078.5-3tDSuqNHOOOhjN.jBSXMYnlS6zEYXSkWu5rwFQSUYFNFvSvOz7Qzi3430I
Politeknik Ketenagakerjaan,Terumumkan,K34,KEMENTERIAN,Politeknik Ketenagakerjaan,13835047,352632,2026,,PNBP,5299939,,583595583,K34,true,2026,Kementerian Ketenagakerjaan,600000,APBN,63949775,DL.2238.AEA.003.051.0D.521211,Kementerian Ketenagakerjaan,171546,false,5809f591-04b2-541e-98c2-10c00ec3f078.5-3tDSuqNHOOOhjN.jBSXMYnlS6zEYXSkWu5rwFQSUYFNFvSvOz7Qzi3430I
Balai Pelatihan Vokasi dan Produktivitas Sidoarjo,Terumumkan,K34,KEMENTERIAN,Balai Pelatihan Vokasi dan Produktivitas Sidoarjo,13675181,050302,2026,,RUPIAH MURNI,5238729,,592589415,K34,true,2026,Kementerian Ketenagakerjaan,9000000,APBN,66128018,DL.4057.SCO.013.057.0A.521211,Kementerian Ketenagakerjaan,152933,false,5809f591-04b2-541e-98c2-10c00ec3f078.5-3tDSuqNHOOOhjN.jBSXMYnlS6zEYXSkWu5rwFQSUYFNFvSvOz7Qzi3430I
Sekretariat Badan Nasional Sertifikasi Profesi,Terumumkan,K34,KEMENTERIAN,Sekretariat Badan Nasional Sertifikasi Profesi,,452533,2026,,PNBP,5143614,,601109608,K34,true,2026,Kementerian Ketenagakerjaan,7440000,APBN,67528859,DL.4053.PFA.061.053.0A.521211,Kementerian Ketenagakerjaan,14108,false,5809f591-04b2-541e-98c2-10c00ec3f078.5-3tDSuqNHOOOhjN.jBSXMYnlS6zEYXSkWu5rwFQSUYFNFvSvOz7Qzi3430I
Balai Besar Pelatihan Vokasi dan Produktivitas Semarang,Terumumkan,K34,KEMENTERIAN,Balai Besar Pelatihan Vokasi dan Produktivitas Semarang,13680526,452609,2026,,RUPIAH MURNI,5244812,,578998358,K34,true,2026,Kementerian Ketenagakerjaan,900000,APBN,62770455,DL.4057.SCO.011.074.0B.521211,Kementerian Ketenagakerjaan,141978,false,5809f591-04b2-541e-98c2-10c00ec3f078.5-3tDSuqNHOOOhjN.jBSXMYnlS6zEYXSkWu5rwFQSUYFNFvSvOz7Qzi3430I
Balai Pelatihan Vokasi dan Produktivitas Bandung Barat,Terumumkan,K34,KEMENTERIAN,Balai Pelatihan Vokasi dan Produktivitas Bandung Barat,13622150,021212,2026,,RUPIAH MURNI,5171851,,602319833,K34,true,2026,Kementerian Ketenagakerjaan,366750000,APBN,67695966,DL.4053.PDI.002.051.OZ.521211,Kementerian Ketenagakerjaan,94422,false,5809f591-04b2-541e-98c2-10c00ec3f078.5-3tDSuqNHOOOhjN.jBSXMYnlS6zEYXSkWu5rwFQSUYFNFvSvOz7Qzi3430I
