nama_satker,status_umumkan_rup,asal_dana,jenis_klpd,asal_dana_satker,kd_kegiatan,kd_satker_str,tahun_anggaran_dana,kd_subkegiatan,jenis_dana_apbn,kd_komponen,kd_rup_lokal,id_paket_anggaran_penyedia,kd_klpd,status_aktif_rup,tahun_anggaran,asal_dana_klpd,pagu,sumber_dana,kd_rup,mak,nama_klpd,kd_satker,status_delete_rup,last_update_ref
Ditjen Pembinaan Penempatan Tenaga Kerja dan Perluasan Kesempatan Kerja,Terumumkan,K34,KEMENTERIAN,Ditjen Pembinaan Penempatan Tenaga Kerja dan Perluasan Kesempatan Kerja,13671006,451139,2026,,RUPIAH MURNI,5231738,,583865073,K34,true,2026,Kementerian Ketenagakerjaan,16200000,APBN,63990215,WA.6621.EBD.953.051.ZA.521211,Kementerian Ketenagakerjaan,14069,false,5809f591-04b2-541e-98c2-10c00ec3f078.Az4YqSGIIEmvWczx.T20U2X3osw7ZhB069JhbJta96JdSgyGXED2wOOMnEYE
DITJEN. PEMBINAAN HUBUNGAN INDUSTRIAL DAN JAMINAN SOSIAL TENAGA KERJA,Terumumkan,K34,KEMENTERIAN,DITJEN. PEMBINAAN HUBUNGAN INDUSTRIAL DAN JAMINAN SOSIAL TENAGA KERJA,13668985,451270,2026,,RUPIAH MURNI,5228580,,589464033,K34,true,2026,Kementerian Ketenagakerjaan,30000000,APBN,65430616,WA.6623.EBA.994.002.0G.521119,Kementerian Ketenagakerjaan,14076,false,5809f591-04b2-541e-98c2-10c00ec3f078.Az4YqSGIIEmvWczx.T20U2X3osw7ZhB069JhbJta96JdSgyGXED2wOOMnEYE
Inspektorat Jenderal,Terumumkan,K34,KEMENTERIAN,Inspektorat Jenderal,13685777,259031,2026,,RUPIAH MURNI,5251849,,591483317,K34,true,2026,Kementerian Ketenagakerjaan,750000,APBN,65900552,WA.2169.EBD.965.052.0D.521211,Kementerian Ketenagakerjaan,14068,false,5809f591-04b2-541e-98c2-10c00ec3f078.Az4YqSGIIEmvWczx.T20U2X3osw7ZhB069JhbJta96JdSgyGXED2wOOMnEYE
Balai Pelatihan Vokasi dan Produktivitas Lombok Timur,Terumumkan,K34,KEMENTERIAN,Balai Pelatihan Vokasi dan Produktivitas Lombok Timur,13777688,230302,2026,,RUPIAH MURNI,5284570,,581458296,K34,true,2026,Kementerian Ketenagakerjaan,1250000,APBN,63391233,DL.4057.SCO.032.051.0D.521211,Kementerian Ketenagakerjaan,94650,false,5809f591-04b2-541e-98c2-10c00ec3f078.Az4YqSGIIEmvWczx.T20U2X3osw7ZhB069JhbJta96JdSgyGXED2wOOMnEYE
BALAI BESAR PERLUASAN KESEMPATAN KERJA,Terumumkan,K34,KEMENTERIAN,BALAI BESAR PERLUASAN KESEMPATAN KERJA,13767529,259322,2026,,RUPIAH MURNI,5281617,,590019659,K34,true,2026,Kementerian Ketenagakerjaan,1000000,APBN,65564462,DN.2175.AEE.001.051.0A.521811,Kementerian Ketenagakerjaan,14075,false,5809f591-04b2-541e-98c2-10c00ec3f078.Az4YqSGIIEmvWczx.T20U2X3osw7ZhB069JhbJta96JdSgyGXED2wOOMnEYE
Balai Pelatihan Vokasi dan Produktivitas Sidoarjo,Terumumkan,K34,KEMENTERIAN,Balai Pelatihan Vokasi dan Produktivitas Sidoarjo,13675181,050302,2026,,RUPIAH MURNI,5238724,,592587973,K34,true,2026,Kementerian Ketenagakerjaan,9000000,APBN,66127530,DL.4057.SCO.013.051.0A.521211,Kementerian Ketenagakerjaan,152933,false,5809f591-04b2-541e-98c2-10c00ec3f078.Az4YqSGIIEmvWczx.T20U2X3osw7ZhB069JhbJta96JdSgyGXED2wOOMnEYE
Balai Besar Pelatihan Vokasi dan Produktivitas Medan,Terumumkan,K34,KEMENTERIAN,Balai Besar Pelatihan Vokasi dan Produktivitas Medan,,451094,2026,,RUPIAH MURNI,5343208,,592597006,K34,true,2026,Kementerian Ketenagakerjaan,22000000,APBN,66129503,DL.4057.SCO.017.058.0A.521211,Kementerian Ketenagakerjaan,14118,false,5809f591-04b2-541e-98c2-10c00ec3f078.Az4YqSGIIEmvWczx.T20U2X3osw7ZhB069JhbJta96JdSgyGXED2wOOMnEYE
Balai Besar Pelatihan Vokasi dan Produktivitas Medan,Terumumkan,K34,KEMENTERIAN,Balai Besar Pelatihan Vokasi dan Produktivitas Medan,13946010,451094,2026,,RUPIAH MURNI,5343201,,592527061,K34,true,2026,Kementerian Ketenagakerjaan,1000000,APBN,66114498,DL.4057.SCO.015.059.0B.521211,Kementerian Ketenagakerjaan,14118,false,5809f591-04b2-541e-98c2-10c00ec3f078.Az4YqSGIIEmvWczx.T20U2X3osw7ZhB069JhbJta96JdSgyGXED2wOOMnEYE
Balai Besar Pelatihan Vokasi dan Produktivitas Makassar,Terumumkan,K34,KEMENTERIAN,Balai Besar Pelatihan Vokasi dan Produktivitas Makassar,13834096,452652,2026,,RUPIAH MURNI,5299587,,593914422,K34,true,2026,Kementerian Ketenagakerjaan,2660000,APBN,66379221,DL.4057.SCO.027.061.0B.521211,Kementerian Ketenagakerjaan,14123,false,5809f591-04b2-541e-98c2-10c00ec3f078.Az4YqSGIIEmvWczx.T20U2X3osw7ZhB069JhbJta96JdSgyGXED2wOOMnEYE
Balai Pelatihan Vokasi dan Produktivitas Surakarta,Terumumkan,K34,KEMENTERIAN,Balai Pelatihan Vokasi dan Produktivitas Surakarta,13587248,035636,2026,,RUPIAH MURNI,5108556,,602659984,K34,true,2026,Kementerian Ketenagakerjaan,18000000,APBN,67764610,DL.4057.SCO.013.065.0A.521211,Kementerian Ketenagakerjaan,14114,false,5809f591-04b2-541e-98c2-10c00ec3f078.Az4YqSGIIEmvWczx.T20U2X3osw7ZhB069JhbJta96JdSgyGXED2wOOMnEYE
Balai Besar Pelatihan Vokasi dan Produktivitas Medan,Terumumkan,K34,KEMENTERIAN,Balai Besar Pelatihan Vokasi dan Produktivitas Medan,13946013,451094,2026,,RUPIAH MURNI,5343219,,589305604,K34,true,2026,Kementerian Ketenagakerjaan,2910732000,APBN,65403994,WA.6988.EBA.994.002.0A.522191,Kementerian Ketenagakerjaan,14118,false,5809f591-04b2-541e-98c2-10c00ec3f078.Az4YqSGIIEmvWczx.T20U2X3osw7ZhB069JhbJta96JdSgyGXED2wOOMnEYE
DITJEN. PEMBINAAN HUBUNGAN INDUSTRIAL DAN JAMINAN SOSIAL TENAGA KERJA,Terumumkan,K34,KEMENTERIAN,DITJEN. PEMBINAAN HUBUNGAN INDUSTRIAL DAN JAMINAN SOSIAL TENAGA KERJA,13668981,451270,2026,,PNBP,5228554,,591208385,K34,true,2026,Kementerian Ketenagakerjaan,176000000,APBN,65846989,DN.2181.BDC.002.051.0B.524114,Kementerian Ketenagakerjaan,14076,false,5809f591-04b2-541e-98c2-10c00ec3f078.Az4YqSGIIEmvWczx.T20U2X3osw7ZhB069JhbJta96JdSgyGXED2wOOMnEYE
Balai Besar Pelatihan Vokasi dan Produktivitas Medan,Terumumkan,K34,KEMENTERIAN,Balai Besar Pelatihan Vokasi dan Produktivitas Medan,13946010,451094,2026,,PNBP,5343197,,590820117,K34,true,2026,Kementerian Ketenagakerjaan,42000000,APBN,65763738,DL.4057.SCO.004.052.0A.521211,Kementerian Ketenagakerjaan,14118,false,5809f591-04b2-541e-98c2-10c00ec3f078.Az4YqSGIIEmvWczx.T20U2X3osw7ZhB069JhbJta96JdSgyGXED2wOOMnEYE
Ditjen Pembinaan Penempatan Tenaga Kerja dan Perluasan Kesempatan Kerja,Terumumkan,K34,KEMENTERIAN,Ditjen Pembinaan Penempatan Tenaga Kerja dan Perluasan Kesempatan Kerja,13671004,451139,2026,,PNBP,5231726,,583419912,K34,true,2026,Kementerian Ketenagakerjaan,100000000,APBN,63898321,DN.6593.DCI.002.052.0F.522141,Kementerian Ketenagakerjaan,14069,false,5809f591-04b2-541e-98c2-10c00ec3f078.Az4YqSGIIEmvWczx.T20U2X3osw7ZhB069JhbJta96JdSgyGXED2wOOMnEYE
Balai Besar Pelatihan Vokasi dan Produktivitas Bekasi,Terumumkan,K34,KEMENTERIAN,Balai Besar Pelatihan Vokasi dan Produktivitas Bekasi,13584916,452558,2026,,PNBP,5103301,,591336897,K34,true,2026,Kementerian Ketenagakerjaan,108500000,APBN,65875239,DL.4053.PDI.002.054.0A.521211,Kementerian Ketenagakerjaan,14111,false,5809f591-04b2-541e-98c2-10c00ec3f078.Az4YqSGIIEmvWczx.T20U2X3osw7ZhB069JhbJta96JdSgyGXED2wOOMnEYE
Balai Pelatihan Vokasi dan Produktivitas Sidoarjo,Terumumkan,K34,KEMENTERIAN,Balai Pelatihan Vokasi dan Produktivitas Sidoarjo,13675181,050302,2026,,PNBP,5238714,,592906907,K34,true,2026,Kementerian Ketenagakerjaan,1000000,APBN,66198072,DL.4057.SCO.003.052.0B.521211,Kementerian Ketenagakerjaan,152933,false,5809f591-04b2-541e-98c2-10c00ec3f078.Az4YqSGIIEmvWczx.T20U2X3osw7ZhB069JhbJta96JdSgyGXED2wOOMnEYE
Balai Perluasan Kesempatan Kerja Bekasi,Terumumkan,K34,KEMENTERIAN,Balai Perluasan Kesempatan Kerja Bekasi,13676347,690634,2026,,RUPIAH MURNI,5240066,,590143373,K34,true,2026,Kementerian Ketenagakerjaan,1520000,APBN,65592114,DN.2175.BDC.003.051.0C.521211,Kementerian Ketenagakerjaan,164530,false,5809f591-04b2-541e-98c2-10c00ec3f078.Az4YqSGIIEmvWczx.T20U2X3osw7ZhB069JhbJta96JdSgyGXED2wOOMnEYE
SEKRETARIAT JENDERAL KEMNAKER,Terumumkan,K34,KEMENTERIAN,SEKRETARIAT JENDERAL KEMNAKER,13599601,450938,2026,,RUPIAH MURNI,5136480,,583354214,K34,true,2026,Kementerian Ketenagakerjaan,77760000,APBN,63878365,WA.2158.EBA.994.002.0S.522141,Kementerian Ketenagakerjaan,14054,false,5809f591-04b2-541e-98c2-10c00ec3f078.Az4YqSGIIEmvWczx.T20U2X3osw7ZhB069JhbJta96JdSgyGXED2wOOMnEYE
Balai Pelatihan Vokasi dan Produktivitas Lombok Timur,Terumumkan,K34,KEMENTERIAN,Balai Pelatihan Vokasi dan Produktivitas Lombok Timur,13777688,230302,2026,,RUPIAH MURNI,5284571,,581457985,K34,true,2026,Kementerian Ketenagakerjaan,1500000,APBN,63391102,DL.4057.SCO.032.052.0D.521211,Kementerian Ketenagakerjaan,94650,false,5809f591-04b2-541e-98c2-10c00ec3f078.Az4YqSGIIEmvWczx.T20U2X3osw7ZhB069JhbJta96JdSgyGXED2wOOMnEYE
Balai Pelatihan Vokasi dan Produktivitas Sidoarjo,Terumumkan,K34,KEMENTERIAN,Balai Pelatihan Vokasi dan Produktivitas Sidoarjo,13675181,050302,2026,,RUPIAH MURNI,5238728,,592589236,K34,true,2026,Kementerian Ketenagakerjaan,16320000,APBN,66127948,DL.4057.SCO.013.056.0A.521211,Kementerian Ketenagakerjaan,152933,false,5809f591-04b2-541e-98c2-10c00ec3f078.Az4YqSGIIEmvWczx.T20U2X3osw7ZhB069JhbJta96JdSgyGXED2wOOMnEYE
Sekretariat Badan Nasional Sertifikasi Profesi,Terumumkan,K34,KEMENTERIAN,Sekretariat Badan Nasional Sertifikasi Profesi,13602835,452533,2026,,PNBP,5143613,,582220049,K34,true,2026,Kementerian Ketenagakerjaan,750000,APBN,63608315,DL.4053.PFA.061.052.0A.521211,Kementerian Ketenagakerjaan,14108,false,5809f591-04b2-541e-98c2-10c00ec3f078.Az4YqSGIIEmvWczx.T20U2X3osw7ZhB069JhbJta96JdSgyGXED2wOOMnEYE
Balai Besar Pelatihan Vokasi dan Produktivitas Semarang,Terumumkan,K34,KEMENTERIAN,Balai Besar Pelatihan Vokasi dan Produktivitas Semarang,,452609,2026,,RUPIAH MURNI,5244797,,591256211,K34,true,2026,Kementerian Ketenagakerjaan,1800000,APBN,65855605,DL.4057.SCO.011.059.0A.521211,Kementerian Ketenagakerjaan,141978,false,5809f591-04b2-541e-98c2-10c00ec3f078.Az4YqSGIIEmvWczx.T20U2X3osw7ZhB069JhbJta96JdSgyGXED2wOOMnEYE
Balai Pelatihan Vokasi dan Produktivitas Sidoarjo,Terumumkan,K34,KEMENTERIAN,Balai Pelatihan Vokasi dan Produktivitas Sidoarjo,13675182,050302,2026,,PNBP,5238745,,593020133,K34,true,2026,Kementerian Ketenagakerjaan,500000,APBN,66223195,DL.4059.SCO.002.051.0A.521211,Kementerian Ketenagakerjaan,152933,false,5809f591-04b2-541e-98c2-10c00ec3f078.Az4YqSGIIEmvWczx.T20U2X3osw7ZhB069JhbJta96JdSgyGXED2wOOMnEYE
Balai Pelatihan Vokasi dan Produktivitas Lombok Timur,Terumumkan,K34,KEMENTERIAN,Balai Pelatihan Vokasi dan Produktivitas Lombok Timur,13777688,230302,2026,,RUPIAH MURNI,5284583,,581452278,K34,true,2026,Kementerian Ketenagakerjaan,22000000,APBN,63389223,DL.4057.SCO.030.052.0A.521211,Kementerian Ketenagakerjaan,94650,false,5809f591-04b2-541e-98c2-10c00ec3f078.Az4YqSGIIEmvWczx.T20U2X3osw7ZhB069JhbJta96JdSgyGXED2wOOMnEYE
Balai Pelatihan Vokasi dan Produktivitas Surakarta,Terumumkan,K34,KEMENTERIAN,Balai Pelatihan Vokasi dan Produktivitas Surakarta,13587248,035636,2026,,RUPIAH MURNI,5108550,,595291118,K34,true,2026,Kementerian Ketenagakerjaan,7200000,APBN,66617092,DL.4057.SCO.011.075.0A.521211,Kementerian Ketenagakerjaan,14114,false,5809f591-04b2-541e-98c2-10c00ec3f078.Az4YqSGIIEmvWczx.T20U2X3osw7ZhB069JhbJta96JdSgyGXED2wOOMnEYE
SEKRETARIAT JENDERAL KEMNAKER,Terumumkan,K34,KEMENTERIAN,SEKRETARIAT JENDERAL KEMNAKER,13599602,450938,2026,,PNBP,5136486,,592037093,K34,true,2026,Kementerian Ketenagakerjaan,36450000,APBN,66021618,WA.2159.EBC.954.052.0I.521211,Kementerian Ketenagakerjaan,14054,false,5809f591-04b2-541e-98c2-10c00ec3f078.Az4YqSGIIEmvWczx.T20U2X3osw7ZhB069JhbJta96JdSgyGXED2wOOMnEYE
Balai Besar Pelatihan Vokasi dan Produktivitas Serang,Terumumkan,K34,KEMENTERIAN,Balai Besar Pelatihan Vokasi dan Produktivitas Serang,,426531,2026,,RUPIAH MURNI,5172999,,597309951,K34,true,2026,Kementerian Ketenagakerjaan,508816000,APBN,66939410,WA.6988.EBA.994.002.0J.522191,Kementerian Ketenagakerjaan,14130,false,5809f591-04b2-541e-98c2-10c00ec3f078.Az4YqSGIIEmvWczx.T20U2X3osw7ZhB069JhbJta96JdSgyGXED2wOOMnEYE
Balai Besar Pelatihan Vokasi dan Produktivitas Bandung,Terumumkan,K34,KEMENTERIAN,Balai Besar Pelatihan Vokasi dan Produktivitas Bandung,13663272,452542,2026,,RUPIAH MURNI,5219590,,578147913,K34,true,2026,Kementerian Ketenagakerjaan,45000000,APBN,62511623,WA.6988.EBA.994.002.0A.521252,Kementerian Ketenagakerjaan,14110,false,5809f591-04b2-541e-98c2-10c00ec3f078.Az4YqSGIIEmvWczx.T20U2X3osw7ZhB069JhbJta96JdSgyGXED2wOOMnEYE
Balai Besar Pelatihan Vokasi dan Produktivitas Semarang,Terumumkan,K34,KEMENTERIAN,Balai Besar Pelatihan Vokasi dan Produktivitas Semarang,13680526,452609,2026,,RUPIAH MURNI,5244814,,578998669,K34,true,2026,Kementerian Ketenagakerjaan,900000,APBN,62770574,DL.4057.SCO.011.077.0B.521211,Kementerian Ketenagakerjaan,141978,false,5809f591-04b2-541e-98c2-10c00ec3f078.Az4YqSGIIEmvWczx.T20U2X3osw7ZhB069JhbJta96JdSgyGXED2wOOMnEYE
Balai Besar Pelatihan Vokasi dan Produktivitas Bandung,Terumumkan,K34,KEMENTERIAN,Balai Besar Pelatihan Vokasi dan Produktivitas Bandung,13663270,452542,2026,,RUPIAH MURNI,5219576,,601057468,K34,true,2026,Kementerian Ketenagakerjaan,9600000,APBN,67521824,DL.4057.SCO.010.055.0A.521211,Kementerian Ketenagakerjaan,14110,false,5809f591-04b2-541e-98c2-10c00ec3f078.Az4YqSGIIEmvWczx.T20U2X3osw7ZhB069JhbJta96JdSgyGXED2wOOMnEYE
BALAI PELATIHAN VOKASI DAN PRODUKTIVITAS PANGKEP,Terumumkan,K34,KEMENTERIAN,BALAI PELATIHAN VOKASI DAN PRODUKTIVITAS PANGKEP,13790841,352630,2026,,RUPIAH MURNI,5287875,,582015319,K34,true,2026,Kementerian Ketenagakerjaan,2100000,APBN,63547558,DL.4057.SCO.003.053.0A.521211,Kementerian Ketenagakerjaan,165839,false,5809f591-04b2-541e-98c2-10c00ec3f078.Az4YqSGIIEmvWczx.T20U2X3osw7ZhB069JhbJta96JdSgyGXED2wOOMnEYE
Balai Pelatihan Vokasi dan Produktivitas Lombok Timur,Terumumkan,K34,KEMENTERIAN,Balai Pelatihan Vokasi dan Produktivitas Lombok Timur,13777687,230302,2026,,PNBP,5284595,,581450392,K34,true,2026,Kementerian Ketenagakerjaan,34750000,APBN,63388632,DL.4053.PDI.002.054.0A.521211,Kementerian Ketenagakerjaan,94650,false,5809f591-04b2-541e-98c2-10c00ec3f078.Az4YqSGIIEmvWczx.T20U2X3osw7ZhB069JhbJta96JdSgyGXED2wOOMnEYE
Inspektorat Jenderal,Terumumkan,K34,KEMENTERIAN,Inspektorat Jenderal,13685778,259031,2026,,RUPIAH MURNI,5251853,,591487097,K34,true,2026,Kementerian Ketenagakerjaan,2640000,APBN,65902072,WA.2170.EBD.965.053.0B.521211,Kementerian Ketenagakerjaan,14068,false,5809f591-04b2-541e-98c2-10c00ec3f078.Az4YqSGIIEmvWczx.T20U2X3osw7ZhB069JhbJta96JdSgyGXED2wOOMnEYE
Balai Pelatihan Vokasi dan Produktivitas Bantaeng,Terumumkan,K34,KEMENTERIAN,Balai Pelatihan Vokasi dan Produktivitas Bantaeng,13599144,191206,2026,,RUPIAH MURNI,5135821,,576561822,K34,true,2026,Kementerian Ketenagakerjaan,88000000,APBN,62165209,DL.4057.SCO.003.051.0A.521211,Kementerian Ketenagakerjaan,95119,false,5809f591-04b2-541e-98c2-10c00ec3f078.Az4YqSGIIEmvWczx.T20U2X3osw7ZhB069JhbJta96JdSgyGXED2wOOMnEYE
Balai Perluasan Kesempatan Kerja Bekasi,Terumumkan,K34,KEMENTERIAN,Balai Perluasan Kesempatan Kerja Bekasi,13676347,690634,2026,,RUPIAH MURNI,5240066,,590143370,K34,true,2026,Kementerian Ketenagakerjaan,1500000,APBN,65592111,DN.2175.BDC.003.051.0C.521211,Kementerian Ketenagakerjaan,164530,false,5809f591-04b2-541e-98c2-10c00ec3f078.Az4YqSGIIEmvWczx.T20U2X3osw7ZhB069JhbJta96JdSgyGXED2wOOMnEYE
Balai Pelatihan Vokasi dan Produktivitas Sidoarjo,Terumumkan,K34,KEMENTERIAN,Balai Pelatihan Vokasi dan Produktivitas Sidoarjo,13675180,050302,2026,,RUPIAH MURNI,5238711,,592604403,K34,true,2026,Kementerian Ketenagakerjaan,190000000,APBN,66131041,DL.4053.PDI.002.051.0B.521211,Kementerian Ketenagakerjaan,152933,false,5809f591-04b2-541e-98c2-10c00ec3f078.Az4YqSGIIEmvWczx.T20U2X3osw7ZhB069JhbJta96JdSgyGXED2wOOMnEYE
Politeknik Ketenagakerjaan,Terumumkan,K34,KEMENTERIAN,Politeknik Ketenagakerjaan,13835047,352632,2026,,PNBP,5299932,,583571448,K34,true,2026,Kementerian Ketenagakerjaan,3000000,APBN,63943029,DL.2238.AEA.002.052.0B.521211,Kementerian Ketenagakerjaan,171546,false,5809f591-04b2-541e-98c2-10c00ec3f078.Az4YqSGIIEmvWczx.T20U2X3osw7ZhB069JhbJta96JdSgyGXED2wOOMnEYE
Balai Besar Pelatihan Vokasi dan Produktivitas Bekasi,Terumumkan,K34,KEMENTERIAN,Balai Besar Pelatihan Vokasi dan Produktivitas Bekasi,13584917,452558,2026,,RUPIAH MURNI,5103316,,592833792,K34,true,2026,Kementerian Ketenagakerjaan,30800000,APBN,66185346,DL.4057.SCO.010.054.0A.521211,Kementerian Ketenagakerjaan,14111,false,5809f591-04b2-541e-98c2-10c00ec3f078.Az4YqSGIIEmvWczx.T20U2X3osw7ZhB069JhbJta96JdSgyGXED2wOOMnEYE
Politeknik Ketenagakerjaan,Terumumkan,K34,KEMENTERIAN,Politeknik Ketenagakerjaan,13835047,352632,2026,,PNBP,5299931,,583566092,K34,true,2026,Kementerian Ketenagakerjaan,5632000,APBN,63941337,DL.2238.AEA.002.053.0A.522141,Kementerian Ketenagakerjaan,171546,false,5809f591-04b2-541e-98c2-10c00ec3f078.Az4YqSGIIEmvWczx.T20U2X3osw7ZhB069JhbJta96JdSgyGXED2wOOMnEYE
Balai Pelatihan Vokasi dan Produktivitas Bandung Barat,Terumumkan,K34,KEMENTERIAN,Balai Pelatihan Vokasi dan Produktivitas Bandung Barat,13622151,021212,2026,,RUPIAH MURNI,5171856,,600311070,K34,true,2026,Kementerian Ketenagakerjaan,36000000,APBN,67379556,DL.4057.SCO.003.053.OD.521211,Kementerian Ketenagakerjaan,94422,false,5809f591-04b2-541e-98c2-10c00ec3f078.Az4YqSGIIEmvWczx.T20U2X3osw7ZhB069JhbJta96JdSgyGXED2wOOMnEYE
DITJEN. PEMBINAAN HUBUNGAN INDUSTRIAL DAN JAMINAN SOSIAL TENAGA KERJA,Terumumkan,K34,KEMENTERIAN,DITJEN. PEMBINAAN HUBUNGAN INDUSTRIAL DAN JAMINAN SOSIAL TENAGA KERJA,13668980,451270,2026,,PNBP,5228547,,583113114,K34,true,2026,Kementerian Ketenagakerjaan,25200000,APBN,63820642,DN.2179.BDD.001.051.0A.521211,Kementerian Ketenagakerjaan,14076,false,5809f591-04b2-541e-98c2-10c00ec3f078.Az4YqSGIIEmvWczx.T20U2X3osw7ZhB069JhbJta96JdSgyGXED2wOOMnEYE
Politeknik Ketenagakerjaan,Terumumkan,K34,KEMENTERIAN,Politeknik Ketenagakerjaan,13835047,352632,2026,,PNBP,5299930,,591866091,K34,true,2026,Kementerian Ketenagakerjaan,25000000,APBN,65991181,DL.2238.SBA.001.052.0A.521219,Kementerian Ketenagakerjaan,171546,false,5809f591-04b2-541e-98c2-10c00ec3f078.Az4YqSGIIEmvWczx.T20U2X3osw7ZhB069JhbJta96JdSgyGXED2wOOMnEYE
Balai Besar Pelatihan Vokasi dan Produktivitas Makassar,Terumumkan,K34,KEMENTERIAN,Balai Besar Pelatihan Vokasi dan Produktivitas Makassar,13834096,452652,2026,,PNBP,5299584,,593575675,K34,true,2026,Kementerian Ketenagakerjaan,16800000,APBN,66304673,DL.4057.SCO.007.052.0A.521211,Kementerian Ketenagakerjaan,14123,false,5809f591-04b2-541e-98c2-10c00ec3f078.Az4YqSGIIEmvWczx.T20U2X3osw7ZhB069JhbJta96JdSgyGXED2wOOMnEYE
DITJEN. PEMBINAAN PENGAWASAN KETENAGAKERJAAN DAN K3,Terumumkan,K34,KEMENTERIAN,DITJEN. PEMBINAAN PENGAWASAN KETENAGAKERJAAN DAN K3,13588363,651870,2026,,PNBP,5112653,,601853405,K34,true,2026,Kementerian Ketenagakerjaan,30000000,APBN,67619329,DN.6589.FAC.003.052.GD.521211,Kementerian Ketenagakerjaan,14095,false,5809f591-04b2-541e-98c2-10c00ec3f078.Az4YqSGIIEmvWczx.T20U2X3osw7ZhB069JhbJta96JdSgyGXED2wOOMnEYE
Balai Pelatihan Vokasi dan Produktivitas Sidoarjo,Terumumkan,K34,KEMENTERIAN,Balai Pelatihan Vokasi dan Produktivitas Sidoarjo,13675181,050302,2026,,RUPIAH MURNI,5238741,,592817865,K34,true,2026,Kementerian Ketenagakerjaan,4480000,APBN,66183458,DL.4057.SCO.013.077.0A.521211,Kementerian Ketenagakerjaan,152933,false,5809f591-04b2-541e-98c2-10c00ec3f078.Az4YqSGIIEmvWczx.T20U2X3osw7ZhB069JhbJta96JdSgyGXED2wOOMnEYE
SEKRETARIAT JENDERAL KEMNAKER,Terumumkan,K34,KEMENTERIAN,SEKRETARIAT JENDERAL KEMNAKER,13599601,450938,2026,,PNBP,5136482,,593701942,K34,true,2026,Kementerian Ketenagakerjaan,11988000,APBN,66331458,WA.2158.EBD.955.051.0D.521211,Kementerian Ketenagakerjaan,14054,false,5809f591-04b2-541e-98c2-10c00ec3f078.Az4YqSGIIEmvWczx.T20U2X3osw7ZhB069JhbJta96JdSgyGXED2wOOMnEYE
Balai Pelatihan Vokasi dan Produktivitas Kendari,Terumumkan,K34,KEMENTERIAN,Balai Pelatihan Vokasi dan Produktivitas Kendari,13618810,209255,2026,,RUPIAH MURNI,5167639,,577938976,K34,true,2026,Kementerian Ketenagakerjaan,6400000,APBN,62440093,DL.4057.SCO.006.052.0A.521211,Kementerian Ketenagakerjaan,14127,false,5809f591-04b2-541e-98c2-10c00ec3f078.Az4YqSGIIEmvWczx.T20U2X3osw7ZhB069JhbJta96JdSgyGXED2wOOMnEYE
Balai Pelatihan Vokasi dan Produktivitas Belitung,Terumumkan,K34,KEMENTERIAN,Balai Pelatihan Vokasi dan Produktivitas Belitung,13590437,352631,2026,,RUPIAH MURNI,5118489,,590173737,K34,true,2026,Kementerian Ketenagakerjaan,3500000,APBN,65598943,DL.4057.SCO.003.053.0B.521211,Kementerian Ketenagakerjaan,162854,false,5809f591-04b2-541e-98c2-10c00ec3f078.Az4YqSGIIEmvWczx.T20U2X3osw7ZhB069JhbJta96JdSgyGXED2wOOMnEYE
SEKRETARIAT JENDERAL KEMNAKER,Terumumkan,K34,KEMENTERIAN,SEKRETARIAT JENDERAL KEMNAKER,,450938,2026,,PNBP,5136495,,592958320,K34,true,2026,Kementerian Ketenagakerjaan,9072000,APBN,66208496,WA.2160.EBD.952.052.0B.521211,Kementerian Ketenagakerjaan,14054,false,5809f591-04b2-541e-98c2-10c00ec3f078.Az4YqSGIIEmvWczx.T20U2X3osw7ZhB069JhbJta96JdSgyGXED2wOOMnEYE
Balai Pelatihan Vokasi dan Produktivitas Bantaeng,Terumumkan,K34,KEMENTERIAN,Balai Pelatihan Vokasi dan Produktivitas Bantaeng,13599144,191206,2026,,PNBP,5135826,,576563999,K34,true,2026,Kementerian Ketenagakerjaan,15000000,APBN,62165773,DL.4057.SCO.005.052.0A.521211,Kementerian Ketenagakerjaan,95119,false,5809f591-04b2-541e-98c2-10c00ec3f078.Az4YqSGIIEmvWczx.T20U2X3osw7ZhB069JhbJta96JdSgyGXED2wOOMnEYE
Balai Besar Pelatihan Vokasi dan Produktivitas Semarang,Terumumkan,K34,KEMENTERIAN,Balai Besar Pelatihan Vokasi dan Produktivitas Semarang,,452609,2026,,RUPIAH MURNI,5244804,,591305849,K34,true,2026,Kementerian Ketenagakerjaan,1800000,APBN,65868258,DL.4057.SCO.011.066.0A.521211,Kementerian Ketenagakerjaan,141978,false,5809f591-04b2-541e-98c2-10c00ec3f078.Az4YqSGIIEmvWczx.T20U2X3osw7ZhB069JhbJta96JdSgyGXED2wOOMnEYE
Politeknik Ketenagakerjaan,Terumumkan,K34,KEMENTERIAN,Politeknik Ketenagakerjaan,13835047,352632,2026,,RUPIAH MURNI,5299943,,591864872,K34,true,2026,Kementerian Ketenagakerjaan,69180000,APBN,65990831,DL.2238.SBA.001.051.0J.522191,Kementerian Ketenagakerjaan,171546,false,5809f591-04b2-541e-98c2-10c00ec3f078.Az4YqSGIIEmvWczx.T20U2X3osw7ZhB069JhbJta96JdSgyGXED2wOOMnEYE
