kd_klpd;nama_klpd;jenis_klpd;kd_satker;kd_satker_str;nama_satker
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;350820;169013;Dinas Tenaga Kerja dan Transmigrasi Provinsi Kalimantan Timur DK 08
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;351464;99005;Dinas Tenaga Kerja dan Transmigrasi Provinsi Riau DK 08
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;372350;199070;Dinas Tenaga Kerja dan Transmigrasi Provinsi Sulawesi Selatan DK 04
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;372351;199014;Dinas Tenaga Kerja dan Transmigrasi Provinsi Sulawesi Selatan DK 013
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;372915;189079;Dinas Tenaga Kerja dan Transmigrasi Provinsi Sulawesi Tengah DK 04
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;372916;189012;Dinas Tenaga Kerja dan Transmigrasi Provinsi Sulawesi Tengah DK 13
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;373145;79071;Dinas Ketenagakerjaan Provinsi Sumatera Utara DK 04
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;373183;289010;Dinas Tenaga Kerja dan Transmigrasi Provinsi Maluku Utara DK 13
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;373969;209067;Dinas Transmigrasi dan Tenaga Kerja Provinsi Sulawesi Tenggara DK 04
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;373971;209019;Dinas Transmigrasi dan Tenaga Kerja Provinsi Sulawesi Tenggara DK 08
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;373992;249291;Dinas Tenaga Kerja dan Transmigrasi Provinsi Nusa Tenggara Timur DK 13
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;373994;249093;Dinas Tenaga Kerja dan Transmigrasi Provinsi Nusa Tenggara Timur DK 04
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;374034;249015;Dinas Tenaga Kerja dan Transmigrasi Provinsi Nusa Tenggara Timur DK 08
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;375773;269013;Dinas Ketenagakerjaan dan Transmigrasi Provinsi Bengkulu DK 13
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;376036;219009;Dinas Tenaga Kerja dan Transmigrasi Provinsi Maluku DK 08
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;376333;59109;Dinas Tenaga Kerja dan Transmigrasi Provinsi Jawa Timur DK 04
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;376335;59021;Dinas Tenaga Kerja dan Transmigrasi Provinsi Jawa Timur DK08 
