kd_klpd;nama_klpd;jenis_klpd;kd_satker;kd_satker_str;nama_satker
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;14095;651870;Ditjen Pembinaan Pengawasan Ketenagakerjaan dan Keselamatan dan Kesehatan Kerja
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;14096;452677;Badan Perencanaan dan Pengembangan Ketenagakerjaan
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;14097;452683;PUSAT PENELITIAN DAN PENGEMBANGAN KETENAGAKERJAAN, BALITFO
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;14098;452692;PUSAT PENELITIAN DAN PENGEMBANGAN KETRANSMIGRASIAN, BALITFO
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;14099;452703;PUSAT DATA DAN INFORMASI KETENAGAKERJAAN BARENBANG
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;14100;452712;PUSAT DATA DAN INFORMASI KETRANSMIGRASIAN BALITFO
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;14101;606318;BALAI PENGKAJIAN DAN PENERAPAN TEKNIK PRODUKSI KETRANSMIGRASIAN BENGKULU
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;14102;451026;DITJEN BINALATTAS KEMNAKER
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;14103;451032;DIREKTORAT STANDARDISASI KOMPETENSI DAN PROGRAM PELATIHAN DITJEN BINALATAS KEMENAKERTRANS
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;14104;451041;DIREKTORAT BINA INSTRUKTUR DAN TENAGA KEPELATIHAN DITJEN BINALATAS KEMENAKERTRANS
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;14105;451057;DIREKTORAT BINA KELEMBAGAAN PELATIHAN DITJEN BINALATTAS KEMNAKER
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;14106;451063;DIREKTORAT BINA PEMAGANGAN DITJEN BINALATAS KEMENAKER
