kd_satker;nama_pelaksana;tgl_realisasi;jenis_realisasi;tahun_anggaran;ket_realisasi;npwp_pelaksana;nama_ppk;no_realisasi;dok_realisasi;kd_lpse;kd_klpd;kd_swakelola_pct;nilai_realisasi;nip_ppk;rn_id;rsk_id;last_update_ref
152210;CV Satu Nyali;2024-01-10T00:00:00Z;Kwitansi;2024;;;A**** F****;BA.001/PPK-BPVPBWI/I/2024;;194;K34;1074194;29480000;***************007;1003194;1003194;d3c152df-2c4f-5258-a62b-916ff001c1c7.OYWKZamO_uSD14FF.UNkm0_sGeIeI3OXKsvd5xCJQ9nQaVGCFqZhKEX1sOkc
152210;PT Dana Cipta Perkasa;2024-05-19T00:00:00Z;Surat Perjanjian;2024;;;A**** F****;BA.058/PPK-BPVPBWI/V/2024;;194;K34;1075194;115200000;***************007;1005194;1005194;d3c152df-2c4f-5258-a62b-916ff001c1c7.OYWKZamO_uSD14FF.UNkm0_sGeIeI3OXKsvd5xCJQ9nQaVGCFqZhKEX1sOkc
152210;PT. Puncak Persada Permai;2024-01-13T00:00:00Z;Surat Perjanjian;2024;;;A**** F****;BA.002/PPK-BPVPBWI/I/2024;;194;K34;1074194;71600000;***************007;1002194;1002194;d3c152df-2c4f-5258-a62b-916ff001c1c7.OYWKZamO_uSD14FF.UNkm0_sGeIeI3OXKsvd5xCJQ9nQaVGCFqZhKEX1sOkc
152210;PT Dwi Bintang Perkasa;2024-01-20T00:00:00Z;Bukti Pembelian;2024;;;A**** F****;BA.003/PPK-BPVPBWI/I/2024;;194;K34;1074194;136000000;***************007;1004194;1004194;d3c152df-2c4f-5258-a62b-916ff001c1c7.OYWKZamO_uSD14FF.UNkm0_sGeIeI3OXKsvd5xCJQ9nQaVGCFqZhKEX1sOkc
