nama_satker,nilai_pdn_pct,tgl_mulai_paket,nip_ppk,hps,kd_satker,status_nontender_pct_ket,uraian_pekerjaan,kd_klpd,status_nontender_pct,tgl_buat_paket,nama_klpd,pagu,kd_rup,nama_paket,mtd_pemilihan,informasi_lainnya,kd_pkt_dce,sumber_dana,jenis_klpd,nilai_umk_pct,bukti_pembayaran,kategori_pengadaan,tahun_anggaran,alasan_pembatalan,kd_lpse,tgl_selesai_paket,total_realisasi,kd_satker_str,nama_ppk,kd_nontender_pct,last_update_ref
SEKRETARIAT JENDERAL KEMNAKER,21288107,2026-08-20T14:32:33.595Z,***************002,0,134194,Paket Selesai,pekerjaan anti rayap di gedung arsip jl jend gatot subroto 51,K34,Aktif,2026-08-20T14:26:24.855000Z,Kementerian Ketenagakerjaan,21348000,65502795,Anti Rayap Ruang Arsip Gatsu 51,Pengadaan Langsung,,11998727000,APBN,KEMENTERIAN,0,NonSPK,Jasa Lainnya,2026,,194,2026-02-02T00:00:00Z,21288107,450938,"A**** H**********, S.S, M.S*.",11039494000,7cc4120c-47e7-51cf-9921-af722035e209.PWnWmtaZpVOT4iSY.CJ0xAUSCDTe2uuuQdO17zyEScryAyJRcHt6Kc2wC6io
Balai Pelatihan Vokasi dan Produktivitas Bandung Barat,0,2026-08-07T08:51:19.42Z,***************001,0,4247194,Paket Selesai,,K34,Aktif,2026-08-07T08:41:18.935000Z,Kementerian Ketenagakerjaan,111500000,67367323,Bahan Pelatihan Project Based Learning dan Kejuruan Industri & Jasa,Pengadaan Langsung,,11966951000,APBN,KEMENTERIAN,0,NonSPK,Pengadaan Barang,2026,,194,2026-04-15T00:00:00Z,44767920,021212,A*** S***** M******,11025871000,7cc4120c-47e7-51cf-9921-af722035e209.PWnWmtaZpVOT4iSY.CJ0xAUSCDTe2uuuQdO17zyEScryAyJRcHt6Kc2wC6io
Balai Pelatihan Vokasi dan Produktivitas Bandung Barat,0,2026-08-07T15:23:58.813Z,***************001,0,4247194,Paket Selesai,,K34,Aktif,2026-08-07T15:15:34.691000Z,Kementerian Ketenagakerjaan,438000000,67364350,Bahan Uji Kompetensi,Pengadaan Langsung,,11968394000,APBN,KEMENTERIAN,0,NonSPK,Pengadaan Barang,2026,,194,2026-04-13T00:00:00Z,23638962,021212,A*** S***** M******,11026448000,7cc4120c-47e7-51cf-9921-af722035e209.PWnWmtaZpVOT4iSY.CJ0xAUSCDTe2uuuQdO17zyEScryAyJRcHt6Kc2wC6io
Balai Besar Pelatihan Vokasi dan Produktivitas Bandung,35236000,2026-06-03T15:50:52.73Z,***************006,0,9878194,Paket Selesai,"<p>Pemeliharaan Jaringan Listrik di Lingkungan BBPVP Bandung</p>                    
                ",K34,Aktif,2026-06-03T15:45:04.691000Z,Kementerian Ketenagakerjaan,90000000,62511634,Belanja Pemeliharaan Jaringan,Pengadaan Langsung,,11775728000,APBN,KEMENTERIAN,35236000,NonSPK,Pengadaan Barang,2026,,194,2026-04-24T00:00:00Z,35236000,452542,C********* D*** R********,10934704000,7cc4120c-47e7-51cf-9921-af722035e209.PWnWmtaZpVOT4iSY.CJ0xAUSCDTe2uuuQdO17zyEScryAyJRcHt6Kc2wC6io
Balai Pelatihan Vokasi dan Produktivitas Bandung Barat,0,2026-08-12T13:05:39.442Z,***************001,0,4247194,Paket Selesai,,K34,Aktif,2026-08-12T13:01:38.357000Z,Kementerian Ketenagakerjaan,227200000,67374957,Konsumsi Pelatihan TMT_PNBP,Pengadaan Langsung,,11980227000,APBN,KEMENTERIAN,0,NonSPK,Pengadaan Barang,2026,,194,2026-05-20T00:00:00Z,11462400,021212,A*** S***** M******,11031748000,7cc4120c-47e7-51cf-9921-af722035e209.PWnWmtaZpVOT4iSY.CJ0xAUSCDTe2uuuQdO17zyEScryAyJRcHt6Kc2wC6io
SEKRETARIAT JENDERAL KEMNAKER,0,2026-09-08T17:23:29.367Z,***************012,0,134194,Paket Sedang Berjalan,,K34,Aktif,2026-09-08T17:11:17.696000Z,Kementerian Ketenagakerjaan,210000000,67692072,Belanja Langganan Air,Dikecualikan,,12050413000,APBN,KEMENTERIAN,0,NonSPK,Jasa Lainnya,2026,,194,2026-12-31T00:00:00Z,78035096,450938,L***** F******,11063223000,7cc4120c-47e7-51cf-9921-af722035e209.PWnWmtaZpVOT4iSY.CJ0xAUSCDTe2uuuQdO17zyEScryAyJRcHt6Kc2wC6io
SEKRETARIAT JENDERAL KEMNAKER,0,2026-08-26T17:49:27.89Z,***************002,0,134194,Paket Sedang Berjalan,"<p>Pengadaan Sarana Pendukung Pelayanan PBJ</p>                    
                ",K34,Aktif,2026-08-10T10:48:39.788000Z,Kementerian Ketenagakerjaan,68400000,63912083,Operasional PBJ - Pengadaan Sarana Pendukung Pelayanan PBJ,Pengadaan Langsung,,11971592000,APBN,KEMENTERIAN,0,NonSPK,Pengadaan Barang,2026,,194,2026-12-31T00:00:00Z,39840000,450938,"A**** H**********, S.S, M.S*.",11027709000,7cc4120c-47e7-51cf-9921-af722035e209.PWnWmtaZpVOT4iSY.CJ0xAUSCDTe2uuuQdO17zyEScryAyJRcHt6Kc2wC6io
Balai Pelatihan Vokasi dan Produktivitas Bandung Barat,61584331,2026-08-05T11:41:48.718Z,***************001,0,4247194,Paket Selesai,"<p><font dir=""auto"" style=""vertical-align: inherit;""><font dir=""auto"" style=""vertical-align: inherit;"">PEKERJAAN PENGADAAN BAHAN PELATIHAN TAILOR MADE TRAINING DUDI ANGKATAN 1 TA 2026</font></font></p>                    
                ",K34,Aktif,2026-08-05T11:33:13.119000Z,Kementerian Ketenagakerjaan,300000000,67375086,PENGADAAN BAHAN PELATIHAN TAILOR MADE TRAINING DUDI ANGKATAN 1,Pengadaan Langsung,,11961332000,APBN,KEMENTERIAN,61584331,NonSPK,Pengadaan Barang,2026,,194,2026-04-06T00:00:00Z,61584331,021212,A*** S***** M******,11023303000,7cc4120c-47e7-51cf-9921-af722035e209.PWnWmtaZpVOT4iSY.CJ0xAUSCDTe2uuuQdO17zyEScryAyJRcHt6Kc2wC6io
SEKRETARIAT JENDERAL KEMNAKER,9060000,2026-08-20T15:11:08.404Z,***************002,0,134194,Paket Selesai,<p>konsumsi kegiatan sosialisasi TND dan SIKN JIKN</p>,K34,Aktif,2026-08-20T12:18:28.461000Z,Kementerian Ketenagakerjaan,9075000,67688603,Belanja Bahan (Konsumsi Rapat Bimtek SIKN-JIKN),Pengadaan Langsung,,11998184000,APBN,KEMENTERIAN,0,NonSPK,Pengadaan Barang,2026,,194,2026-04-14T00:00:00Z,9060000,450938,"A**** H**********, S.S, M.S*.",11039247000,7cc4120c-47e7-51cf-9921-af722035e209.PWnWmtaZpVOT4iSY.CJ0xAUSCDTe2uuuQdO17zyEScryAyJRcHt6Kc2wC6io
Balai Pelatihan Vokasi dan Produktivitas Bandung Barat,0,2026-08-12T12:47:16.276Z,***************001,0,4247194,Paket Selesai,,K34,Aktif,2026-08-12T12:43:29.815000Z,Kementerian Ketenagakerjaan,438000000,67364350,Bahan Uji Kompetensi,Pengadaan Langsung,,11980167000,APBN,KEMENTERIAN,0,NonSPK,Pengadaan Barang,2026,,194,2026-04-24T00:00:00Z,12476715,021212,A*** S***** M******,11031726000,7cc4120c-47e7-51cf-9921-af722035e209.PWnWmtaZpVOT4iSY.CJ0xAUSCDTe2uuuQdO17zyEScryAyJRcHt6Kc2wC6io
SEKRETARIAT JENDERAL KEMNAKER,0,2026-09-01T11:27:48.448Z,***************012,0,134194,Paket Sedang Berjalan,,K34,Aktif,2026-09-01T11:20:20.028000Z,Kementerian Ketenagakerjaan,50000000,67686320,Sewa Kendaraan Pemindahan BMN (PAL),Pengadaan Langsung,,12025820000,APBN,KEMENTERIAN,0,NonSPK,Jasa Lainnya,2026,,194,2026-12-31T00:00:00Z,30600000,450938,L***** F******,11050445000,7cc4120c-47e7-51cf-9921-af722035e209.PWnWmtaZpVOT4iSY.CJ0xAUSCDTe2uuuQdO17zyEScryAyJRcHt6Kc2wC6io
SEKRETARIAT JENDERAL KEMNAKER,38900000,2026-08-20T15:04:54.498Z,***************002,0,134194,Paket Selesai,"<p>pekerjaan termite control gedung arsip kranji</p>                    
                ",K34,Aktif,2026-08-20T14:16:03.968000Z,Kementerian Ketenagakerjaan,39360000,67691028,Anti Rayap Ruang Arsip Kranji,Pengadaan Langsung,,11998674000,APBN,KEMENTERIAN,0,NonSPK,Jasa Lainnya,2026,,194,2026-01-29T00:00:00Z,39060900,450938,"A**** H**********, S.S, M.S*.",11039469000,7cc4120c-47e7-51cf-9921-af722035e209.PWnWmtaZpVOT4iSY.CJ0xAUSCDTe2uuuQdO17zyEScryAyJRcHt6Kc2wC6io
SEKRETARIAT JENDERAL KEMNAKER,0,2026-09-04T15:08:53.973Z,***************002,0,134194,Paket Sedang Berjalan,,K34,Aktif,2026-08-28T15:54:43.413000Z,Kementerian Ketenagakerjaan,27000000,66361119,[TU Menteri dan Wakil Menteri] Belanja Pemeliharaan Peralatan dan Mesin-Pemeliharaan kendaraan dinas roda 4,Pengadaan Langsung,,12018119000,APBN,KEMENTERIAN,0,NonSPK,Jasa Lainnya,2026,,194,2026-12-31T00:00:00Z,8715000,450938,"A**** H**********, S.S, M.S*.",11047146000,7cc4120c-47e7-51cf-9921-af722035e209.PWnWmtaZpVOT4iSY.CJ0xAUSCDTe2uuuQdO17zyEScryAyJRcHt6Kc2wC6io
Balai Pelatihan Vokasi dan Produktivitas Bandung Barat,0,2026-08-10T09:53:15.685Z,***************001,0,4247194,Paket Selesai,,K34,Aktif,2026-08-10T09:43:18.759000Z,Kementerian Ketenagakerjaan,64000000,67374934,Konsumsi Pelatihan TMT_RM,Pengadaan Langsung,,11971031000,APBN,KEMENTERIAN,0,NonSPK,Pengadaan Barang,2026,,194,2026-04-06T00:00:00Z,13372800,021212,A*** S***** M******,11027400000,7cc4120c-47e7-51cf-9921-af722035e209.PWnWmtaZpVOT4iSY.CJ0xAUSCDTe2uuuQdO17zyEScryAyJRcHt6Kc2wC6io
SEKRETARIAT JENDERAL KEMNAKER,0,2026-09-04T15:08:16.471Z,***************002,0,134194,Paket Sedang Berjalan,,K34,Aktif,2026-08-28T16:32:27.263000Z,Kementerian Ketenagakerjaan,8100000,66360766,[TU Menteri dan Wakil Menteri] Belanja Pemeliharaan Peralatan dan Mesin-Pemeliharaan kendaraan dinas roda 2,Pengadaan Langsung,,12018203000,APBN,KEMENTERIAN,0,NonSPK,Jasa Lainnya,2026,,194,2026-12-31T00:00:00Z,1037000,450938,"A**** H**********, S.S, M.S*.",11047172000,7cc4120c-47e7-51cf-9921-af722035e209.PWnWmtaZpVOT4iSY.CJ0xAUSCDTe2uuuQdO17zyEScryAyJRcHt6Kc2wC6io
SEKRETARIAT JENDERAL KEMNAKER,0,2026-09-01T11:17:26.155Z,***************012,0,134194,Paket Sedang Berjalan,,K34,Aktif,2026-08-20T13:45:14.235000Z,Kementerian Ketenagakerjaan,50000000,66112390,Cetak Sticker Label BMN (PAL),Pengadaan Langsung,,11998530000,APBN,KEMENTERIAN,0,NonSPK,Pengadaan Barang,2026,,194,2026-12-31T00:00:00Z,37500000,450938,L***** F******,11039392000,7cc4120c-47e7-51cf-9921-af722035e209.PWnWmtaZpVOT4iSY.CJ0xAUSCDTe2uuuQdO17zyEScryAyJRcHt6Kc2wC6io
SEKRETARIAT JENDERAL KEMNAKER,0,2026-09-04T15:10:33.131Z,***************002,0,134194,Paket Sedang Berjalan,,K34,Aktif,2026-08-21T13:45:18.469000Z,Kementerian Ketenagakerjaan,86400000,66360459,[TU Menteri dan Wakil Menteri] Belanja Pemeliharaan Peralatan dan Mesin-Pengadaan BBM Kendaraan Dinas Ops. Kegiatan Menteri,Pengadaan Langsung,,12001562000,APBN,KEMENTERIAN,0,NonSPK,Jasa Lainnya,2026,,194,2026-12-31T00:00:00Z,39096299,450938,"A**** H**********, S.S, M.S*.",11040701000,7cc4120c-47e7-51cf-9921-af722035e209.PWnWmtaZpVOT4iSY.CJ0xAUSCDTe2uuuQdO17zyEScryAyJRcHt6Kc2wC6io
Balai Pelatihan Vokasi dan Produktivitas Bandung Barat,0,2026-08-12T12:35:15.153Z,***************001,0,4247194,Paket Selesai,,K34,Aktif,2026-08-12T12:31:22.341000Z,Kementerian Ketenagakerjaan,852000000,67374842,Bahan Pelatihan TMT_PNBP,Pengadaan Langsung,,11980111000,APBN,KEMENTERIAN,0,NonSPK,Pengadaan Barang,2026,,194,2026-04-27T00:00:00Z,11929072,021212,A*** S***** M******,11031691000,7cc4120c-47e7-51cf-9921-af722035e209.PWnWmtaZpVOT4iSY.CJ0xAUSCDTe2uuuQdO17zyEScryAyJRcHt6Kc2wC6io
Balai Pelatihan Vokasi dan Produktivitas Bandung Barat,0,2026-08-10T11:51:06.612Z,***************001,0,4247194,Paket Selesai,,K34,Aktif,2026-08-10T11:45:54.117000Z,Kementerian Ketenagakerjaan,15000000,62822411,Bahan Uji Kompetensi,Pengadaan Langsung,,11971997000,APBN,KEMENTERIAN,0,NonSPK,Pengadaan Barang,2026,,194,2026-04-17T00:00:00Z,14719559,021212,A*** S***** M******,11027896000,7cc4120c-47e7-51cf-9921-af722035e209.PWnWmtaZpVOT4iSY.CJ0xAUSCDTe2uuuQdO17zyEScryAyJRcHt6Kc2wC6io
SEKRETARIAT JENDERAL KEMNAKER,0,2026-08-31T09:21:05.002Z,***************012,0,134194,Paket Sedang Berjalan,,K34,Aktif,2026-08-21T07:53:11.059000Z,Kementerian Ketenagakerjaan,8049250000,66901203,Belanja Langganan Listrik,Dikecualikan,,12000021000,APBN,KEMENTERIAN,0,NonSPK,Jasa Lainnya,2026,,194,2026-12-31T00:00:00Z,4868897131,450938,L***** F******,11040002000,7cc4120c-47e7-51cf-9921-af722035e209.PWnWmtaZpVOT4iSY.CJ0xAUSCDTe2uuuQdO17zyEScryAyJRcHt6Kc2wC6io
SEKRETARIAT JENDERAL KEMNAKER,0,2026-08-31T09:14:30.211Z,***************012,0,134194,Paket Sedang Berjalan,,K34,Aktif,2026-08-21T08:56:33.722000Z,Kementerian Ketenagakerjaan,420000000,66030701,Langganan Listrik Wisma Karya Jasa,Dikecualikan,,12000288000,APBN,KEMENTERIAN,0,NonSPK,Jasa Lainnya,2026,,194,2026-12-31T00:00:00Z,193578656,450938,L***** F******,11040111000,7cc4120c-47e7-51cf-9921-af722035e209.PWnWmtaZpVOT4iSY.CJ0xAUSCDTe2uuuQdO17zyEScryAyJRcHt6Kc2wC6io
Balai Pelatihan Vokasi dan Produktivitas Belitung,49276119,2026-04-05T19:31:18.95Z,***************001,0,336194,Paket Selesai,"<p>Pengadaan Bahan Pelatihan TMT - RM Non Batch BPVP Belitung</p>                    
                ",K34,Aktif,2026-04-05T19:20:29.418000Z,Kementerian Ketenagakerjaan,60000000,65598950,Pengadaan Bahan Pelatihan TMT - RM Non Batch BPVP Belitung,Pengadaan Langsung,,11638866000,APBN,KEMENTERIAN,49276119,NonSPK,Pengadaan Barang,2026,,194,2026-03-02T00:00:00Z,49276119,352631,L***** F*****,10868363000,7cc4120c-47e7-51cf-9921-af722035e209.PWnWmtaZpVOT4iSY.CJ0xAUSCDTe2uuuQdO17zyEScryAyJRcHt6Kc2wC6io
SEKRETARIAT JENDERAL KEMNAKER,0,2026-09-01T11:15:23.54Z,***************012,0,134194,Paket Sedang Berjalan,,K34,Aktif,2026-08-25T14:42:20.584000Z,Kementerian Ketenagakerjaan,3726000,66113844,Pemeliharaan Komputer (PAL),Pengadaan Langsung,,12007214000,APBN,KEMENTERIAN,0,NonSPK,Jasa Lainnya,2026,,194,2026-12-31T00:00:00Z,1185000,450938,L***** F******,11042626000,7cc4120c-47e7-51cf-9921-af722035e209.PWnWmtaZpVOT4iSY.CJ0xAUSCDTe2uuuQdO17zyEScryAyJRcHt6Kc2wC6io
SEKRETARIAT JENDERAL KEMNAKER,0,2026-09-01T11:17:58.075Z,***************012,0,134194,Paket Sedang Berjalan,,K34,Aktif,2026-08-24T09:50:28.755000Z,Kementerian Ketenagakerjaan,6210000,66113482,Pemeliharaan Printer (PAL),Pengadaan Langsung,,12004570000,APBN,KEMENTERIAN,0,NonSPK,Pengadaan Barang,2026,,194,2026-12-31T00:00:00Z,2200000,450938,L***** F******,11041703000,7cc4120c-47e7-51cf-9921-af722035e209.PWnWmtaZpVOT4iSY.CJ0xAUSCDTe2uuuQdO17zyEScryAyJRcHt6Kc2wC6io
Balai Pelatihan Vokasi dan Produktivitas Belitung,40488650,2026-07-07T09:08:34.985Z,***************001,0,336194,Paket Sedang Berjalan,<p>Pengadaan Bahan Pelatihan Pengoperasian Mesin Bubut Sebanyak 1 (Satu) Paket Pelatihan Non Boarding PBK BPVP Belitung di UPTD BLK Disnaker Prov Babel <br><br></p>,K34,Aktif,2026-07-07T08:10:37.773000Z,Kementerian Ketenagakerjaan,182302000,66453149,Pengadaan Bahan Pelatihan Pengoperasian Mesin Bubut Sebanyak 1 (Satu) Paket Pelatihan Non Boarding PBK BPVP Belitung di UPTD BLK Disnaker Prov Babel,Pengadaan Langsung,,11868135000,APBN,KEMENTERIAN,0,NonSPK,Pengadaan Barang,2026,,194,2026-06-11T00:00:00Z,40488650,352631,L***** F*****,10978054000,7cc4120c-47e7-51cf-9921-af722035e209.PWnWmtaZpVOT4iSY.CJ0xAUSCDTe2uuuQdO17zyEScryAyJRcHt6Kc2wC6io
