nama_satker,nilai_pdn_pct,tgl_mulai_paket,nip_ppk,hps,kd_satker,status_nontender_pct_ket,uraian_pekerjaan,kd_klpd,status_nontender_pct,tgl_buat_paket,nama_klpd,pagu,kd_rup,nama_paket,mtd_pemilihan,informasi_lainnya,kd_pkt_dce,sumber_dana,jenis_klpd,nilai_umk_pct,bukti_pembayaran,kategori_pengadaan,tahun_anggaran,alasan_pembatalan,kd_lpse,tgl_selesai_paket,total_realisasi,kd_satker_str,nama_ppk,kd_nontender_pct,last_update_ref
SEKRETARIAT JENDERAL KEMNAKER,49722228,2026-08-20T15:03:52.075Z,***************002,0,134194,Paket Selesai,"<p>biaya pekerjaan anti rayap gedung arsip jl walang raya</p>                    
                ",K34,Aktif,2026-08-20T14:21:52.127000Z,Kementerian Ketenagakerjaan,50000000,65502973,Anti Rayap Ruang Arsip Walang,Pengadaan Langsung,,11998701000,APBN,KEMENTERIAN,0,NonSPK,Jasa Lainnya,2026,,194,2026-01-30T00:00:00Z,49722228,450938,"A**** H**********, S.S, M.S*.",11039485000,7cc4120c-47e7-51cf-9921-af722035e209.PWnWmtaZpVOT4iSY.CJ0xAUSCDTe2uuuQdO17zyEScryAyJRcHt6Kc2wC6io
Balai Besar Pelatihan Vokasi dan Produktivitas Bandung,33735100,2026-06-03T15:16:35.237Z,***************006,0,9878194,Paket Selesai,"<p>Pemeliharaan Jaringan Air di Lingkungan BBPVP Bandung</p>                    
                ",K34,Aktif,2026-06-03T14:59:47.501000Z,Kementerian Ketenagakerjaan,90000000,62511634,Belanja Pemeliharaan Jaringan,Pengadaan Langsung,,11775545000,APBN,KEMENTERIAN,33735100,NonSPK,Pengadaan Barang,2026,,194,2026-04-24T00:00:00Z,33735100,452542,C********* D*** R********,10934629000,7cc4120c-47e7-51cf-9921-af722035e209.PWnWmtaZpVOT4iSY.CJ0xAUSCDTe2uuuQdO17zyEScryAyJRcHt6Kc2wC6io
Balai Pelatihan Vokasi dan Produktivitas Bandung Barat,0,2026-08-12T13:12:58.072Z,***************001,0,4247194,Paket Selesai,,K34,Aktif,2026-08-12T13:10:13.311000Z,Kementerian Ketenagakerjaan,852000000,67374842,Bahan Pelatihan TMT_PNBP,Pengadaan Langsung,,11980274000,APBN,KEMENTERIAN,0,NonSPK,Pengadaan Barang,2026,,194,2026-05-08T00:00:00Z,75909331,021212,A*** S***** M******,11031780000,7cc4120c-47e7-51cf-9921-af722035e209.PWnWmtaZpVOT4iSY.CJ0xAUSCDTe2uuuQdO17zyEScryAyJRcHt6Kc2wC6io
SEKRETARIAT JENDERAL KEMNAKER,0,2026-09-04T12:24:49.62Z,***************002,0,134194,Paket Sedang Berjalan,,K34,Aktif,2026-08-19T11:49:54.326000Z,Kementerian Ketenagakerjaan,77760000,63878365,Belanja Sewa Kendaraan,Pengadaan Langsung,,11994040000,APBN,KEMENTERIAN,0,NonSPK,Pengadaan Barang,2026,,194,2026-12-31T00:00:00Z,40140000,450938,"A**** H**********, S.S, M.S*.",11037463000,7cc4120c-47e7-51cf-9921-af722035e209.PWnWmtaZpVOT4iSY.CJ0xAUSCDTe2uuuQdO17zyEScryAyJRcHt6Kc2wC6io
SEKRETARIAT JENDERAL KEMNAKER,34079117,2026-08-20T15:02:17.037Z,***************002,0,134194,Paket Selesai,"<p>cetak buku Permenaker Nomor 3 Tahun 2026 tentang Tata Naskah Dinas</p>                    
                ",K34,Aktif,2026-08-20T11:32:36.437000Z,Kementerian Ketenagakerjaan,34080000,67688577,(Persuratan dan Kearsipan ) Cetak Buku Permenaker Tata Naskah Dinas,Pengadaan Langsung,,11997979000,APBN,KEMENTERIAN,0,NonSPK,Pengadaan Barang,2026,,194,2026-04-12T00:00:00Z,34079117,450938,"A**** H**********, S.S, M.S*.",11039147000,7cc4120c-47e7-51cf-9921-af722035e209.PWnWmtaZpVOT4iSY.CJ0xAUSCDTe2uuuQdO17zyEScryAyJRcHt6Kc2wC6io
Balai Pelatihan Vokasi dan Produktivitas Bandung Barat,0,2026-08-10T08:36:27.799Z,***************001,0,4247194,Paket Selesai,,K34,Aktif,2026-08-10T08:32:36.313000Z,Kementerian Ketenagakerjaan,330000000,67380766,Bahan Pelatihan Green Job 40 JP,Pengadaan Langsung,,11970544000,APBN,KEMENTERIAN,0,NonSPK,Pengadaan Barang,2026,,194,2026-04-17T00:00:00Z,74551796,021212,A*** S***** M******,11027168000,7cc4120c-47e7-51cf-9921-af722035e209.PWnWmtaZpVOT4iSY.CJ0xAUSCDTe2uuuQdO17zyEScryAyJRcHt6Kc2wC6io
SEKRETARIAT JENDERAL KEMNAKER,0,2026-09-04T15:09:51.875Z,***************002,0,134194,Paket Sedang Berjalan,,K34,Aktif,2026-08-28T15:09:16.061000Z,Kementerian Ketenagakerjaan,81000000,66360640,[TU Menteri dan Wakil Menteri] Belanja Pemeliharaan Peralatan dan Mesin-pengadaan BBM kendaraan dinas operasional kegiatan Wakil Menteri,Pengadaan Langsung,,12017965000,APBN,KEMENTERIAN,0,NonSPK,Jasa Lainnya,2026,,194,2026-12-31T00:00:00Z,35299101,450938,"A**** H**********, S.S, M.S*.",11047083000,7cc4120c-47e7-51cf-9921-af722035e209.PWnWmtaZpVOT4iSY.CJ0xAUSCDTe2uuuQdO17zyEScryAyJRcHt6Kc2wC6io
Balai Pelatihan Vokasi dan Produktivitas Bandung Barat,0,2026-08-10T11:58:00.014Z,***************001,0,4247194,Paket Selesai,,K34,Aktif,2026-08-10T11:53:40.249000Z,Kementerian Ketenagakerjaan,35200000,67380817,Konsumsi Peserta pelatihan 40 JP,Pengadaan Langsung,,11972035000,APBN,KEMENTERIAN,0,NonSPK,Pengadaan Barang,2026,,194,2026-04-17T00:00:00Z,7960000,021212,A*** S***** M******,11027915000,7cc4120c-47e7-51cf-9921-af722035e209.PWnWmtaZpVOT4iSY.CJ0xAUSCDTe2uuuQdO17zyEScryAyJRcHt6Kc2wC6io
Balai Pelatihan Vokasi dan Produktivitas Bandung Barat,100,2026-08-06T10:33:44.232Z,***************001,0,4247194,Paket Selesai,,K34,Aktif,2026-08-06T10:25:35.339000Z,Kementerian Ketenagakerjaan,300000000,67375086,Bahan Pelatihan Tailor Made Training_RM,Pengadaan Langsung,,11964388000,APBN,KEMENTERIAN,100,NonSPK,Pengadaan Barang,2026,,194,2026-04-11T00:00:00Z,43649071,021212,A*** S***** M******,11024740000,7cc4120c-47e7-51cf-9921-af722035e209.PWnWmtaZpVOT4iSY.CJ0xAUSCDTe2uuuQdO17zyEScryAyJRcHt6Kc2wC6io
SEKRETARIAT JENDERAL KEMNAKER,0,2026-09-04T12:20:57.39Z,***************002,0,134194,Paket Sedang Berjalan,,K34,Aktif,2026-08-20T15:34:59.401000Z,Kementerian Ketenagakerjaan,5850000,63879838,Belanja Pemerliharaan Peralatan Perkantoran - Printer,Pengadaan Langsung,,11999144000,APBN,KEMENTERIAN,0,NonSPK,Jasa Lainnya,2026,,194,2026-12-31T00:00:00Z,3775000,450938,"A**** H**********, S.S, M.S*.",11039692000,7cc4120c-47e7-51cf-9921-af722035e209.PWnWmtaZpVOT4iSY.CJ0xAUSCDTe2uuuQdO17zyEScryAyJRcHt6Kc2wC6io
