kd_kegiatan,asal_dana,mak,tahun_anggaran,kd_satker_str,status_umumkan_rup,asal_dana_satker,id_paket_anggaran_swakelola,jenis_dana_apbn,pagu,sumber_dana,jenis_klpd,nama_klpd,status_delete_rup,kd_satker,kd_rup_lokal,nama_satker,tahun_anggaran_dana,kd_komponen,kd_subkegiatan,status_aktif_rup,kd_klpd,kd_rup,asal_dana_klpd,last_update_ref
13834096,K34,DL.4057.SCO.027.057.0A.521219,2026,452652,Terumumkan,Balai Besar Pelatihan Vokasi dan Produktivitas Makassar,593918089,RUPIAH MURNI,2176000,APBN,KEMENTERIAN,Kementerian Ketenagakerjaan,false,14123,,Balai Besar Pelatihan Vokasi dan Produktivitas Makassar,2026,5299592,,true,K34,43132727,Kementerian Ketenagakerjaan,57dbe10c-25b3-5ac2-8bdd-35321ac7748f.MYYEmXEb4YHh-NYV.ZIL-yX29u6BA9DGulrXaCU4OlN8C1BDI7zfwmv4ss68
13834096,K34,DL.4057.SCO.026.054.0B.521115,2026,452652,Terumumkan,Balai Besar Pelatihan Vokasi dan Produktivitas Makassar,593930456,RUPIAH MURNI,6940000,APBN,KEMENTERIAN,Kementerian Ketenagakerjaan,false,14123,,Balai Besar Pelatihan Vokasi dan Produktivitas Makassar,2026,5299579,,true,K34,43134193,Kementerian Ketenagakerjaan,57dbe10c-25b3-5ac2-8bdd-35321ac7748f.MYYEmXEb4YHh-NYV.ZIL-yX29u6BA9DGulrXaCU4OlN8C1BDI7zfwmv4ss68
13767529,K34,DN.2175.BDC.006.051.0b.522131,2026,259322,Terumumkan,BALAI BESAR PERLUASAN KESEMPATAN KERJA,591353200,PNBP,638220000,APBN,KEMENTERIAN,Kementerian Ketenagakerjaan,false,14075,,BALAI BESAR PERLUASAN KESEMPATAN KERJA,2026,5281619,,true,K34,42916320,Kementerian Ketenagakerjaan,57dbe10c-25b3-5ac2-8bdd-35321ac7748f.MYYEmXEb4YHh-NYV.ZIL-yX29u6BA9DGulrXaCU4OlN8C1BDI7zfwmv4ss68
13767529,K34,DN.2175.BDC.006.051.0B.522131,2026,259322,Terumumkan,BALAI BESAR PERLUASAN KESEMPATAN KERJA,590019815,PNBP,638220000,APBN,KEMENTERIAN,Kementerian Ketenagakerjaan,false,14075,,BALAI BESAR PERLUASAN KESEMPATAN KERJA,2026,5281619,,true,K34,42789773,Kementerian Ketenagakerjaan,57dbe10c-25b3-5ac2-8bdd-35321ac7748f.MYYEmXEb4YHh-NYV.ZIL-yX29u6BA9DGulrXaCU4OlN8C1BDI7zfwmv4ss68
,K34,DL.4053.PDI.004.051.0B.521211,2026,452533,Terumumkan,Sekretariat Badan Nasional Sertifikasi Profesi,601110493,PNBP,10000000,APBN,KEMENTERIAN,Kementerian Ketenagakerjaan,false,14108,,Sekretariat Badan Nasional Sertifikasi Profesi,2026,5143606,,true,K34,43535549,Kementerian Ketenagakerjaan,57dbe10c-25b3-5ac2-8bdd-35321ac7748f.MYYEmXEb4YHh-NYV.ZIL-yX29u6BA9DGulrXaCU4OlN8C1BDI7zfwmv4ss68
13834096,K34,DL.4057.SCO.037.055.0A.521219,2026,452652,Terumumkan,Balai Besar Pelatihan Vokasi dan Produktivitas Makassar,593900335,RUPIAH MURNI,2176000,APBN,KEMENTERIAN,Kementerian Ketenagakerjaan,false,14123,,Balai Besar Pelatihan Vokasi dan Produktivitas Makassar,2026,5299582,,true,K34,43130405,Kementerian Ketenagakerjaan,57dbe10c-25b3-5ac2-8bdd-35321ac7748f.MYYEmXEb4YHh-NYV.ZIL-yX29u6BA9DGulrXaCU4OlN8C1BDI7zfwmv4ss68
13610373,K34,DL.4057.SCO.030.051.0A.521213,2026,051102,Terumumkan,Balai Pelatihan Vokasi dan Produktivitas Banyuwangi,600957816,PNBP,4350000,APBN,KEMENTERIAN,Kementerian Ketenagakerjaan,false,152210,,Balai Pelatihan Vokasi dan Produktivitas Banyuwangi,2026,5407684,,true,K34,43531314,Kementerian Ketenagakerjaan,57dbe10c-25b3-5ac2-8bdd-35321ac7748f.MYYEmXEb4YHh-NYV.ZIL-yX29u6BA9DGulrXaCU4OlN8C1BDI7zfwmv4ss68
13666446,K34,DN.2175.BEI.011.051.0A.526312,2026,626041,Terumumkan,Direktorat Bina Perluasan Kesempatan Kerja,582857653,PNBP,2000000000,APBN,KEMENTERIAN,Kementerian Ketenagakerjaan,false,179088,,Direktorat Bina Perluasan Kesempatan Kerja,2026,5224492,,true,K34,42092528,Kementerian Ketenagakerjaan,57dbe10c-25b3-5ac2-8bdd-35321ac7748f.MYYEmXEb4YHh-NYV.ZIL-yX29u6BA9DGulrXaCU4OlN8C1BDI7zfwmv4ss68
13592111,K34,WA.6622.EBA.994.002.0C.521111,2026,350084,Terumumkan,Balai Besar Keselamatan dan Kesehatan Kerja Jakarta,577349493,RUPIAH MURNI,30298000,APBN,KEMENTERIAN,Kementerian Ketenagakerjaan,false,101569,,Balai Besar Keselamatan dan Kesehatan Kerja Jakarta,2026,5122915,,true,K34,41582834,Kementerian Ketenagakerjaan,57dbe10c-25b3-5ac2-8bdd-35321ac7748f.MYYEmXEb4YHh-NYV.ZIL-yX29u6BA9DGulrXaCU4OlN8C1BDI7zfwmv4ss68
13610373,K34,DL.4057.SCO.030.057.O5.265263,2026,051102,Terumumkan,Balai Pelatihan Vokasi dan Produktivitas Banyuwangi,600994517,PNBP,19840000,APBN,KEMENTERIAN,Kementerian Ketenagakerjaan,false,152210,,Balai Pelatihan Vokasi dan Produktivitas Banyuwangi,2026,5407682,,true,K34,43532446,Kementerian Ketenagakerjaan,57dbe10c-25b3-5ac2-8bdd-35321ac7748f.MYYEmXEb4YHh-NYV.ZIL-yX29u6BA9DGulrXaCU4OlN8C1BDI7zfwmv4ss68
