jenis_klpd;nama_penyedia;hps;npwp_16_penyedia;tahun_anggaran;kd_klpd;kd_lpse;kd_rup_paket;kd_satker;nilai_pdn_kontrak;nilai_umk_kontrak;npwp_penyedia;nilai_negosiasi;psr_id;tgl_penetapan_pemenang;kd_paket;pagu;kd_penyedia;nama_klpd;nama_satker;tgl_pengumuman_tender;kd_tender;nilai_kontrak;nilai_penawaran;nilai_terkoreksi;last_update_ref
KEMENTERIAN;PT. Karisma Konsultama;8358008000;0312752710411000;2025;K34;194;61133649;451026;;;31.275.271.0-411.000;7949394275;11162700000;2025-12-02T00:00:00Z;10088539000;8358008000;340212;Kementerian Ketenagakerjaan;Ditjen Pembinaan Pelatihan Vokasi dan Produktivitas;2025-10-24T00:00:00Z;10092776000;7949394275;7949394275;7949394275;aa9e24fe-3cf9-5f28-b9e3-32f533621d70.LfDUMM3_87JFto67.3vZ-uIsVIZHY9HXjuIPF1rpsfLU9yx7Y5KoRmPfQikY
KEMENTERIAN;PT. DAYACIPTA KREASI BERSAMA;204201377;0862484714031000;2025;K34;194;54327298;352632;;;86.248.471.4-031.000;196220250;10842762000;2025-09-12T00:00:00Z;10061075000;300000000;18065127;Kementerian Ketenagakerjaan;Politeknik Ketenagakerjaan;2025-07-30T00:00:00Z;10063162000;196220250;196225800;196225800;aa9e24fe-3cf9-5f28-b9e3-32f533621d70.LfDUMM3_87JFto67.3vZ-uIsVIZHY9HXjuIPF1rpsfLU9yx7Y5KoRmPfQikY
KEMENTERIAN;PT. Surya Abadi Konsultan;4996089160;0015447402614000;2025;K34;194;61151968;452533;;;01.544.740.2-614.000;4896244984;11161958000;2025-12-03T00:00:00Z;10088538000;4996302000;259064;Kementerian Ketenagakerjaan;Sekretariat Badan Nasional Sertifikasi Profesi;2025-10-24T00:00:00Z;10092775000;4896244984;4896244978;4896244984;aa9e24fe-3cf9-5f28-b9e3-32f533621d70.LfDUMM3_87JFto67.3vZ-uIsVIZHY9HXjuIPF1rpsfLU9yx7Y5KoRmPfQikY
KEMENTERIAN;PT. CAKRABUANA CONSULTANTS;7614265000;0015721806016000;2025;K34;194;61983962;451026;;;01.572.180.6-016.000;7228792360;11201211000;2026-01-09T00:00:00Z;10098234000;7614265000;469109;Kementerian Ketenagakerjaan;Ditjen Pembinaan Pelatihan Vokasi dan Produktivitas;2025-12-10T00:00:00Z;10102858000;7228792360;7228792360;7228792360;aa9e24fe-3cf9-5f28-b9e3-32f533621d70.LfDUMM3_87JFto67.3vZ-uIsVIZHY9HXjuIPF1rpsfLU9yx7Y5KoRmPfQikY
KEMENTERIAN;PT INERSIA AMPAK ENGINEERS;65209776882;0013082797001000;2025;K34;194;62098629;450938;;;01.308.279.7-001.000;58268276999;11222183000;2026-03-16T00:00:00Z;10100902000;65842276882;712065;Kementerian Ketenagakerjaan;Sekretariat Jenderal;2026-01-12T00:00:00Z;10105551000;58268276999;58648693618;58268276999;aa9e24fe-3cf9-5f28-b9e3-32f533621d70.LfDUMM3_87JFto67.3vZ-uIsVIZHY9HXjuIPF1rpsfLU9yx7Y5KoRmPfQikY
KEMENTERIAN;PT. KARYACIPTA ARTA MANDIRI;3227014579;0944955202447000;2025;K34;194;54327297;352632;;;94.495.520.2-447.000;2377700000;10933448000;2025-09-08T00:00:00Z;10068191000;3400000000;3233359;Kementerian Ketenagakerjaan;Politeknik Ketenagakerjaan;2025-08-15T00:00:00Z;10070774000;2377700000;2377700000;2377700000;aa9e24fe-3cf9-5f28-b9e3-32f533621d70.LfDUMM3_87JFto67.3vZ-uIsVIZHY9HXjuIPF1rpsfLU9yx7Y5KoRmPfQikY
