Nama Instansi,Nama Satuan Kerja,Kode Paket,Kode RUP,Tahun Anggaran,Sumber Transaksi,Sumber Dana,Nama Penyedia,Metode Pengadaan,Jenis Pengadaan,Nama Paket,Status Paket,Total Nilai (Rp),Nilai PDN (Rp)
KEMENTERIAN KETENAGAKERJAAN,PUSAT PASAR KERJA - 626011,01KNH5C3BNJMY8JNHB4AN8196F,66836297,2026,E-Katalog 6.0,APBN,GRAHA ANDRASENTRA PROPERTINDO,E-Purchasing,Jasa Lainnya,Paket Meeting Fullboard Penguatan Zona Integritas Dukungan Layanan Pasar Kerja,PAYMENT OUTSIDE SYSTEM,200000000,200000000
KEMENTERIAN KETENAGAKERJAAN,DITJEN PEMBINAAN PENEMPATAN TENAGA KERJA DAN PERLUASAN KESEMPATAN KERJA - 451139,01KP4TQKMSYKDJ8NX92YH7RX0X,66900281,2026,E-Katalog 6.0,APBN,SHR HOTEL INDONESIA,E-Purchasing,Jasa Lainnya,Bimbingan Teknis Lembaga Penempatan Tenaga Kerja Dalam Negeri,COMPLETED,88000000,88000000
KEMENTERIAN KETENAGAKERJAAN,BALAI BESAR PELATIHAN VOKASI DAN PRODUKTIVITAS SEMARANG - 452609,01KRB1MH9B1T8C9RCRP6Y86Q5A,66185662,2026,E-Katalog 6.0,APBN,MULIA JAYA ABADI,E-Purchasing,Barang,Belanja Bahan Pelaksanaan Sertifikasi Lulusan Pelatihan Vokasi (PNP),COMPLETED,17258835,17258835
KEMENTERIAN KETENAGAKERJAAN,BALAI BESAR PELATIHAN VOKASI DAN PRODUKTIVITAS SEMARANG - 452609,01KKAZW0VYN626WQPY89QDPQ8R,66185950,2026,E-Katalog 6.0,APBN,SETIA,E-Purchasing,Barang,Belanja Bahan TMT Klaster,COMPLETED,4192026,4192026
KEMENTERIAN KETENAGAKERJAAN,DITJEN. PEMBINAAN HUBUNGAN INDUSTRIAL DAN JAMINAN SOSIAL TENAGA KERJA - 451270,01KRZHQRKDVRBSK2R0VTSY56B0,66123873,2026,E-Katalog 6.0,APBN,FANTASTIK ASIA INTERNASIONAL,E-Purchasing,Jasa Lainnya,"Paket Meeting Fullboard Peserta, Penyelenggara, dan Moderator",COMPLETED,64000000,64000000
KEMENTERIAN KETENAGAKERJAAN,BALAI PELATIHAN VOKASI DAN PRODUKTIVITAS SIDOARJO - 050302,01KMSA16K99A1M400EPDG1BJEH,66473957,2026,E-Katalog 6.0,APBN,PARAMITHA,E-Purchasing,Barang,Bahan Pelatihan Tailor Made Training 40 JP A,PAYMENT OUTSIDE SYSTEM,24857118,24857118
KEMENTERIAN KETENAGAKERJAAN,BADAN PERENCANAAN DAN PENGEMBANGAN KETENAGAKERJAAN - 452677,01KJC7V9BF2N3XPTNQBJCHADZX,65970208,2026,E-Katalog 6.0,APBN,GOSYEN SOLUSINDO CEMERLANG,E-Purchasing,Barang,Tablet,COMPLETED,21000000,21000000
KEMENTERIAN KETENAGAKERJAAN,BALAI PELATIHAN VOKASI DAN PRODUKTIVITAS SURAKARTA - 035636,01KNR8YNHVBB9REXK6EPFVJ6NW,66296592,2026,E-Katalog 6.0,APBN,PUTRA BTU,E-Purchasing,Barang,Belanja Pengadaan Pakaian Kerja Peserta UPTD Technopark Sragen,PAYMENT OUTSIDE SYSTEM,2336008,2336008
KEMENTERIAN KETENAGAKERJAAN,DIREKTORAT BINA PERLUASAN KESEMPATAN KERJA - 626041,01KJVW18QRZBT7V77PD4MPPGCF,65906250,2026,E-Katalog 6.0,APBN,JAVA PARADISE ISLAND,E-Purchasing,Jasa Lainnya,Fullboard Paket Meeting - Persiapan Pelaksanaan Penyaluran Bantuan Kegiatan Padat Karya - Penyusunan Juknis Padat Karya,COMPLETED,56000000,56000000
KEMENTERIAN KETENAGAKERJAAN,PUSAT PENGEMBANGAN SUMBER DAYA MANUSIA KETENAGAKERJAAN - 450990,01KKX1MDM211A72DW0SWXGJCNR,66539232,2026,E-Katalog 6.0,APBN,CV ZEE AULIA MANDIRI,E-Purchasing,Barang,Perlengkapan Peserta - PELATIHAN DASAR CALON PEGAWAI NEGERI SIPIL,COMPLETED,142499858,142499858
