kd_satker_str;kd_subkegiatan;tahun_anggaran;asal_dana_klpd;kd_komponen;kd_satker;kd_rup_lokal;status_delete_rup;mak;tahun_anggaran_dana;jenis_klpd;kd_klpd;kd_rup;pagu;asal_dana_satker;kd_kegiatan;status_umumkan_rup;nama_satker;sumber_dana;asal_dana;id_paket_anggaran_swakelola;nama_klpd;jenis_dana_apbn;status_aktif_rup;last_update_ref
626041;;2026;Kementerian Ketenagakerjaan;5224493;179088;;FALSE;DN.2175.QEA.001.051.0A.526312;2026;KEMENTERIAN;K34;42092570;10340000000;Direktorat Bina Perluasan Kesempatan Kerja;13666446;Terumumkan;Direktorat Bina Perluasan Kesempatan Kerja;APBN;K34;583477641;Kementerian Ketenagakerjaan;RUPIAH MURNI;TRUE;4a81064f-5446-54e8-95e7-c4cf23085862.sxcXbG7il-WYXUU-.SMfXSDEkv-DiN_ZrzFccGjJXf_L4NtzLhsZBC2nI1MY
452652;;2026;Kementerian Ketenagakerjaan;5299592;14123;;FALSE;DL.4057.SCO.027.057.0A.521219;2026;KEMENTERIAN;K34;43132727;2176000;Balai Besar Pelatihan Vokasi dan Produktivitas Makassar;13834096;Terumumkan;Balai Besar Pelatihan Vokasi dan Produktivitas Makassar;APBN;K34;593918089;Kementerian Ketenagakerjaan;RUPIAH MURNI;TRUE;4a81064f-5446-54e8-95e7-c4cf23085862.sxcXbG7il-WYXUU-.SMfXSDEkv-DiN_ZrzFccGjJXf_L4NtzLhsZBC2nI1MY
452533;;2026;Kementerian Ketenagakerjaan;5143606;14108;;FALSE;DL.4053.PDI.004.051.0B.521211;2026;KEMENTERIAN;K34;43479714;48400000;Sekretariat Badan Nasional Sertifikasi Profesi;;Terumumkan;Sekretariat Badan Nasional Sertifikasi Profesi;APBN;K34;599341459;Kementerian Ketenagakerjaan;PNBP;TRUE;4a81064f-5446-54e8-95e7-c4cf23085862.sxcXbG7il-WYXUU-.SMfXSDEkv-DiN_ZrzFccGjJXf_L4NtzLhsZBC2nI1MY
452652;;2026;Kementerian Ketenagakerjaan;5299579;14123;;FALSE;DL.4057.SCO.026.054.0B.521115;2026;KEMENTERIAN;K34;43134193;6940000;Balai Besar Pelatihan Vokasi dan Produktivitas Makassar;13834096;Terumumkan;Balai Besar Pelatihan Vokasi dan Produktivitas Makassar;APBN;K34;593930456;Kementerian Ketenagakerjaan;RUPIAH MURNI;TRUE;4a81064f-5446-54e8-95e7-c4cf23085862.sxcXbG7il-WYXUU-.SMfXSDEkv-DiN_ZrzFccGjJXf_L4NtzLhsZBC2nI1MY
259322;;2026;Kementerian Ketenagakerjaan;5281619;14075;;FALSE;DN.2175.BDC.006.051.0b.522131;2026;KEMENTERIAN;K34;42916320;638220000;Balai Besar Perluasan Kesempatan Kerja Bandung Barat;13767529;Terumumkan;Balai Besar Perluasan Kesempatan Kerja Bandung Barat;APBN;K34;591353200;Kementerian Ketenagakerjaan;PNBP;TRUE;4a81064f-5446-54e8-95e7-c4cf23085862.sxcXbG7il-WYXUU-.SMfXSDEkv-DiN_ZrzFccGjJXf_L4NtzLhsZBC2nI1MY
259322;;2026;Kementerian Ketenagakerjaan;5281619;14075;;FALSE;DN.2175.BDC.006.051.0B.522131;2026;KEMENTERIAN;K34;42789773;638220000;Balai Besar Perluasan Kesempatan Kerja Bandung Barat;13767529;Terumumkan;Balai Besar Perluasan Kesempatan Kerja Bandung Barat;APBN;K34;590019815;Kementerian Ketenagakerjaan;PNBP;TRUE;4a81064f-5446-54e8-95e7-c4cf23085862.sxcXbG7il-WYXUU-.SMfXSDEkv-DiN_ZrzFccGjJXf_L4NtzLhsZBC2nI1MY
452652;;2026;Kementerian Ketenagakerjaan;5299582;14123;;FALSE;DL.4057.SCO.037.055.0A.521219;2026;KEMENTERIAN;K34;43130405;2176000;Balai Besar Pelatihan Vokasi dan Produktivitas Makassar;13834096;Terumumkan;Balai Besar Pelatihan Vokasi dan Produktivitas Makassar;APBN;K34;593900335;Kementerian Ketenagakerjaan;RUPIAH MURNI;TRUE;4a81064f-5446-54e8-95e7-c4cf23085862.sxcXbG7il-WYXUU-.SMfXSDEkv-DiN_ZrzFccGjJXf_L4NtzLhsZBC2nI1MY
051102;;2026;Kementerian Ketenagakerjaan;5407684;152210;;FALSE;DL.4057.SCO.030.051.0A.521213;2026;KEMENTERIAN;K34;43531314;4350000;Balai Pelatihan Vokasi dan Produktivitas Banyuwangi;13610373;Terumumkan;Balai Pelatihan Vokasi dan Produktivitas Banyuwangi;APBN;K34;600957816;Kementerian Ketenagakerjaan;PNBP;TRUE;4a81064f-5446-54e8-95e7-c4cf23085862.sxcXbG7il-WYXUU-.SMfXSDEkv-DiN_ZrzFccGjJXf_L4NtzLhsZBC2nI1MY
626041;;2026;Kementerian Ketenagakerjaan;5224492;179088;;FALSE;DN.2175.BEI.011.051.0A.526312;2026;KEMENTERIAN;K34;42092528;2000000000;Direktorat Bina Perluasan Kesempatan Kerja;13666446;Terumumkan;Direktorat Bina Perluasan Kesempatan Kerja;APBN;K34;582857653;Kementerian Ketenagakerjaan;PNBP;TRUE;4a81064f-5446-54e8-95e7-c4cf23085862.sxcXbG7il-WYXUU-.SMfXSDEkv-DiN_ZrzFccGjJXf_L4NtzLhsZBC2nI1MY
350084;;2026;Kementerian Ketenagakerjaan;5122915;101569;;FALSE;WA.6622.EBA.994.002.0C.521111;2026;KEMENTERIAN;K34;41582834;30298000;Balai Besar Keselamatan dan Kesehatan Kerja Jakarta;13592111;Terumumkan;Balai Besar Keselamatan dan Kesehatan Kerja Jakarta;APBN;K34;577349493;Kementerian Ketenagakerjaan;RUPIAH MURNI;TRUE;4a81064f-5446-54e8-95e7-c4cf23085862.sxcXbG7il-WYXUU-.SMfXSDEkv-DiN_ZrzFccGjJXf_L4NtzLhsZBC2nI1MY
051102;;2026;Kementerian Ketenagakerjaan;5407682;152210;;FALSE;DL.4057.SCO.030.057.O5.265263;2026;KEMENTERIAN;K34;43532446;19840000;Balai Pelatihan Vokasi dan Produktivitas Banyuwangi;13610373;Terumumkan;Balai Pelatihan Vokasi dan Produktivitas Banyuwangi;APBN;K34;600994517;Kementerian Ketenagakerjaan;PNBP;TRUE;4a81064f-5446-54e8-95e7-c4cf23085862.sxcXbG7il-WYXUU-.SMfXSDEkv-DiN_ZrzFccGjJXf_L4NtzLhsZBC2nI1MY
452652;;2026;Kementerian Ketenagakerjaan;5299585;14123;;FALSE;DL.4057.SCO.037.053.0B.521115;2026;KEMENTERIAN;K34;43131352;6940000;Balai Besar Pelatihan Vokasi dan Produktivitas Makassar;13834096;Terumumkan;Balai Besar Pelatihan Vokasi dan Produktivitas Makassar;APBN;K34;593906482;Kementerian Ketenagakerjaan;RUPIAH MURNI;TRUE;4a81064f-5446-54e8-95e7-c4cf23085862.sxcXbG7il-WYXUU-.SMfXSDEkv-DiN_ZrzFccGjJXf_L4NtzLhsZBC2nI1MY
452652;;2026;Kementerian Ketenagakerjaan;5299573;14123;;FALSE;DL.4057.SCO.027.063.0A.526312;2026;KEMENTERIAN;K34;43132501;47680000;Balai Besar Pelatihan Vokasi dan Produktivitas Makassar;13834096;Terumumkan;Balai Besar Pelatihan Vokasi dan Produktivitas Makassar;APBN;K34;593916044;Kementerian Ketenagakerjaan;RUPIAH MURNI;TRUE;4a81064f-5446-54e8-95e7-c4cf23085862.sxcXbG7il-WYXUU-.SMfXSDEkv-DiN_ZrzFccGjJXf_L4NtzLhsZBC2nI1MY
452652;;2026;Kementerian Ketenagakerjaan;5299576;14123;;FALSE;DL.4057.SCO.026.058.0B.521115;2026;KEMENTERIAN;K34;43133985;3470000;Balai Besar Pelatihan Vokasi dan Produktivitas Makassar;13834096;Terumumkan;Balai Besar Pelatihan Vokasi dan Produktivitas Makassar;APBN;K34;593928342;Kementerian Ketenagakerjaan;RUPIAH MURNI;TRUE;4a81064f-5446-54e8-95e7-c4cf23085862.sxcXbG7il-WYXUU-.SMfXSDEkv-DiN_ZrzFccGjJXf_L4NtzLhsZBC2nI1MY
051102;;2026;Kementerian Ketenagakerjaan;5407688;152210;;FALSE;DL.4057.SCO.030.054.0A.522151;2026;KEMENTERIAN;K34;43532299;5800000;Balai Pelatihan Vokasi dan Produktivitas Banyuwangi;13610373;Terumumkan;Balai Pelatihan Vokasi dan Produktivitas Banyuwangi;APBN;K34;600991840;Kementerian Ketenagakerjaan;PNBP;TRUE;4a81064f-5446-54e8-95e7-c4cf23085862.sxcXbG7il-WYXUU-.SMfXSDEkv-DiN_ZrzFccGjJXf_L4NtzLhsZBC2nI1MY
