npwp_16_penyedia;psr_id;nilai_terkoreksi;kd_penyedia;nama_satker;npwp_penyedia;provinsi;nilai_kontrak;nama_klpd;nilai_pdn_kontrak;kd_rup_paket;nilai_umk_kontrak;kd_satker;lokasi_pekerjaan;nama_penyedia;kd_klpd;kd_lpse;hps;kd_paket;nilai_negosiasi;jenis_klpd;pagu;kabkota;nilai_penawaran;tgl_pengumuman_tender;kd_tender;tahun_anggaran;tgl_penetapan_pemenang;last_update_ref
;;;;Direktorat Bina Kelembagaan Pelatihan Vokasi;;Kalimantan Utara;;Kementerian Ketenagakerjaan;;66390319;;626131;Jalan Nasional Poros Bulungan - Malinau, Desa Seriang, Kecamatan Tanjung Selor, Kabupaten Bulungan, Provinsi Kalimantan Utara;;K34;194;94577629145;10150225000;;KEMENTERIAN;1,08024E+11;Bulungan (Kab.);;2026-07-29T00:00:00Z;10157189000;2026;2026-09-03T00:00:00Z;cc820c5f-e6ba-5337-bc51-523cc40dc3a2.Xz7GpQuBiVt-hWGf.2flemz-3Ko7rh6GtYa_P6S_uCIAblKkjFjWf2tTNGMc
;;;;Badan Perencanaan dan Pengembangan Ketenagakerjaan;;DKI Jakarta;;Kementerian Ketenagakerjaan;;67611590;;452677;Jl. Jend Gatot Subroto Kav 51;;K34;194;294600000;10152339000;;KEMENTERIAN;400000000;Jakarta Selatan (Kota);;2026-08-05T00:00:00Z;10159515000;2026;2026-09-17T00:00:00Z;cc820c5f-e6ba-5337-bc51-523cc40dc3a2.Xz7GpQuBiVt-hWGf.2flemz-3Ko7rh6GtYa_P6S_uCIAblKkjFjWf2tTNGMc
;;;;Direktorat Bina Kelembagaan Pelatihan Vokasi;;Maluku Utara;;Kementerian Ketenagakerjaan;;66390318;;626131;Desa Panamboang, Kecamatan Bacan Selatan, Kabupaten Halmahera Selatan, Provinsi Maluku Utara;;K34;194;72210016000;10151157000;;KEMENTERIAN;72311690000;Halmahera Selatan (Kab.);;2026-08-05T00:00:00Z;10158222000;2026;2026-09-16T00:00:00Z;cc820c5f-e6ba-5337-bc51-523cc40dc3a2.Xz7GpQuBiVt-hWGf.2flemz-3Ko7rh6GtYa_P6S_uCIAblKkjFjWf2tTNGMc
;;;;Direktorat Bina Penyelenggaraan Pelatihan Vokasi dan Pemagangan;;DKI Jakarta;;Kementerian Ketenagakerjaan;;67429813;;626132;Gedung Vokasi Jalan Jenderal Gatot Subroto Kaveling 44 Jakarta Selatan DKI Jakarta;;K34;194;2299921875;10144772000;;KEMENTERIAN;2300000000;Jakarta Selatan (Kota);;2026-07-22T00:00:00Z;10151353000;2026;2026-08-18T00:00:00Z;cc820c5f-e6ba-5337-bc51-523cc40dc3a2.Xz7GpQuBiVt-hWGf.2flemz-3Ko7rh6GtYa_P6S_uCIAblKkjFjWf2tTNGMc
