id;No;Kode/ID paket;Nama paket;Jenis Pengadaan (barang/jasa/konstruksi/lainnya);Nilai Paket (Rp);Lokasi;Waktu pengadaan (bulan/triwulan);Skema (tender/e-purchasing/katalog/lainnya);Kendala;Mitigasi;RO;REALISASI
463;;63393806;Konsumsi Peserta Pelatihan 280 JP;Barang;13440000;Kupang;Februari;E-Purchasing;;;Pelatihan Vokasi di Provinsi Nusa Tenggara Timur;0
464;;63393807;Bahan Pelatihan Menyiapkan Produk Roti 180 JP;Barang;20017000;Kupang;Februari;E-Purchasing;;;Pelatihan Vokasi di Provinsi Nusa Tenggara Timur;0
465;;63393808;Spanduk;Barang;200000;Kupang;Februari;Pengadaan Langsung;;;Pelatihan Vokasi di Provinsi Nusa Tenggara Timur;0
466;;63393809;Reproduksi Modul;Barang;14080000;Kupang;Februari;E-Purchasing;;;Pelatihan Vokasi di Provinsi Nusa Tenggara Timur;0
467;;63393810;Dokumentasi dan Pelaporan;Barang;600000;Kupang;Februari;E-Purchasing;;;Pelatihan Vokasi di Provinsi Nusa Tenggara Timur;0
468;;63393811;Konsumsi Peserta 180 JP;Barang;8640000;Kupang;Februari;E-Purchasing;;;Pelatihan Vokasi di Provinsi Nusa Tenggara Timur;0
469;;63393812;Sertifikat;Barang;640000;Kupang;Februari;Pengadaan Langsung;;;Pelatihan Vokasi di Provinsi Nusa Tenggara Timur;0
470;;63393813;ATK;Barang;750000;Kupang;Februari;Pengadaan Langsung;;;Pelatihan Vokasi di Provinsi Nusa Tenggara Timur;0
471;;63393814;Penggandaan Bahan Materi Uji;Barang;750000;Kupang;Februari;Pengadaan Langsung;;;Pelatihan Vokasi di Provinsi Nusa Tenggara Timur;0
472;;63393815;Pakaian Kerja;Barang;12800000;Kupang;Februari;E-Purchasing;;;Pelatihan Vokasi di Provinsi Nusa Tenggara Timur;0
473;;63393816;Konsumsi Peserta 140 JP;Barang;13440000;Kupang;Februari;E-Purchasing;;;Pelatihan Vokasi di Provinsi Nusa Tenggara Timur;0
474;;63390475;Konsumsi Peserta 140 JP;Barang;13440000;timor tengah utara;Februari;E-Purchasing;;;Pelatihan Vokasi di Provinsi Nusa Tenggara Timur;0
475;;63390474;Komputer Supplies;Barang;1500000;timor tengah utara;Februari;E-Purchasing;;;Pelatihan Vokasi di Provinsi Nusa Tenggara Timur;0
476;;63390473;Konsumsi Dalam Rangka Rekrutmen;Barang;2000000;timor tengah utara;Februari;E-Purchasing;;;Pelatihan Vokasi di Provinsi Nusa Tenggara Timur;0
477;;63390472;Bahan Pelatihan Menjahit Pakaian Dasar Pria dan Wanita 260 JP;Barang;22000000;timor tengah utara;Februari;E-Purchasing;;;Pelatihan Vokasi di Provinsi Nusa Tenggara Timur;0
478;;63390482;Konsumsi Pembukaan Penutupan;Barang;2000000;timor tengah utara;Februari;E-Purchasing;;;Pelatihan Vokasi di Provinsi Nusa Tenggara Timur;0
479;;63390481;Bahan Pelatihan Pembuatan Roti dan Kue 140 JP;Barang;36000000;timor tengah utara;Februari;E-Purchasing;;;Pelatihan Vokasi di Provinsi Nusa Tenggara Timur;0
480;;63390480;Konsumsi Peserta 260 JP;Barang;24960000;timor tengah utara;Februari;E-Purchasing;;;Pelatihan Vokasi di Provinsi Nusa Tenggara Timur;0
481;;63390479;Bahan Pelatihan Practical Office Advance 260 JP;Barang;18000000;timor tengah utara;Februari;E-Purchasing;;;Pelatihan Vokasi di Provinsi Nusa Tenggara Timur;0
482;;63390478;Penggandaan;Barang;750000;timor tengah utara;Februari;Pengadaan Langsung;;;Pelatihan Vokasi di Provinsi Nusa Tenggara Timur;0
483;;63390477;Pakaian Kerja;Barang;12800000;timor tengah utara;Februari;E-Purchasing;;;Pelatihan Vokasi di Provinsi Nusa Tenggara Timur;0
484;;63390468;Sertifikat;Barang;640000;timor tengah utara;Februari;Pengadaan Langsung;;;Pelatihan Vokasi di Provinsi Nusa Tenggara Timur;0
485;;63390469;Spanduk;Barang;220000;timor tengah utara;Februari;Pengadaan Langsung;;;Pelatihan Vokasi di Provinsi Nusa Tenggara Timur;0
486;;63390476;Reproduksi Modul;Barang;14080000;timor tengah utara;Februari;E-Purchasing;;;Pelatihan Vokasi di Provinsi Nusa Tenggara Timur;0
487;;63390470;Dokumentasi dan Pelaporan;Barang;1200000;timor tengah utara;Februari;Pengadaan Langsung;;;Pelatihan Vokasi di Provinsi Nusa Tenggara Timur;0
488;;63390471;ATK;Barang;750000;timor tengah utara;Februari;pengadaan Langsung;;;Pelatihan Vokasi di Provinsi Nusa Tenggara Timur;0
489;;63369447;Konsumsi Dalam Rangka Rekrutmen;Barang;2000000;Larantuka;Februari;E-Purchasing;;;Pelatihan Vokasi di Provinsi Nusa Tenggara Timur;0
490;;63369448;Bahan Pelatihan Pembuatan Roti dan Kue 140 JP;Barang;72000000;Larantuka;Februari;E-Purchasing;;;Pelatihan Vokasi di Provinsi Nusa Tenggara Timur;0
491;;63369449;Konsumsi Peserta 140 JP;Barang;26880000;Larantuka;Februari;E-Purchasing;;;Pelatihan Vokasi di Provinsi Nusa Tenggara Timur;0
492;;63369450;Reproduksi Modul;Barang;14080000;Larantuka;Februari;E-Purchasing;;;Pelatihan Vokasi di Provinsi Nusa Tenggara Timur;0
493;;63369451;Dokumentasi dan Pelaporan;Barang;1200000;Larantuka;Februari;pengadaan Langsung;;;Pelatihan Vokasi di Provinsi Nusa Tenggara Timur;0
494;;63369452;Pakaian Kerja;Barang;12800000;Larantuka;Februari;E-Purchasing;;;Pelatihan Vokasi di Provinsi Nusa Tenggara Timur;0
495;;63369453;Sertifikat;Barang;640000;Larantuka;Februari;pengadaan Langsung;;;Pelatihan Vokasi di Provinsi Nusa Tenggara Timur;0
496;;63369454;ATK;Barang;750000;Larantuka;Februari;pengadaan Langsung;;;Pelatihan Vokasi di Provinsi Nusa Tenggara Timur;0
497;;63369455;Penggandaan;Barang;1500000;Larantuka;Februari;pengadaan Langsung;;;Pelatihan Vokasi di Provinsi Nusa Tenggara Timur;0
498;;63369444;Komputer Supplies;Barang;1500000;Larantuka;Februari;pengadaan Langsung;;;Pelatihan Vokasi di Provinsi Nusa Tenggara Timur;0
499;;63369445;Konsumsi Pembukaan Penutupan;Barang;2000000;Larantuka;Februari;E-Purchasing;;;Pelatihan Vokasi di Provinsi Nusa Tenggara Timur;0
500;;63369446;Spanduk;Barang;220000;Larantuka;Februari;E-Purchasing;;;Pelatihan Vokasi di Provinsi Nusa Tenggara Timur;0
