id;No;Unit;Kode RO;Nama RO;Satuan;Target Volume (Capaian);Pagu (Capaian);Realisasi Anggaran;Realisasi Volume;% Capaian Anggaran;% Capaian Fisik/Volume;Selisih Pagu;Status
17e6ec5f-7437-49da-8463-9b013d71e67c;4;026.13 Direktorat Jenderal Pembinaan Pelatihan Vokasi Dan Produktivitas;4057.SCO.031;Pelatihan Vokasi di Provinsi Nusa Tenggara Barat;Orang;800;2.681.916.000;942.519.600;670;35,10%;83,80%;1.739.396.400;Baik
2314c9d8-8286-4f0c-bacf-89227d67e987;5;026.13 Direktorat Jenderal Pembinaan Pelatihan Vokasi Dan Produktivitas;4057.SCO.032;Pelatihan Vokasi di Provinsi Nusa Tenggara Timur;Orang;432;1.335.617.000;90.735.900;154;6,80%;35,60%;1.244.881.100;Perlu Perhatian
3759f519-8810-4f19-a3f0-5feb37dd2535;1;026.04 Ditjen Pembinaan Penempatan Tenaga Kerja dan Perluasan Kesempatan Kerja;2175.QEA.001;Bantuan Tenaga Kerja Mandiri (TKM) Pemula;Orang;7.554;32.500.000.000;1.250.000.000;250;3,80%;3,30%;31.250.000.000;Kritis
9b8b2977-0983-4d84-b6f2-4a24937ad9c7;2;026.08 Ditjen Pembinaan Pengawasan Ketenagakerjaan dan Keselamatan dan Kesehatan Kerja;6592.QAC.002;Layanan Penanggulangan Tuberkulosis di Tempat Kerja;Badan Usaha;367;224.700.000;14.210.000;23;6,30%;6,30%;210.490.000;Kritis
f56f4c61-f2e0-431f-be3e-cecf80daf5ec;3;026.13 Direktorat Jenderal Pembinaan Pelatihan Vokasi Dan Produktivitas;4053.PDI.004;Tenaga kerja yang mendapatkan Sertifikat Kompetensi Kerja;Orang;5.608;4.917.445.000;1.393.895.561;181;28,30%;3,20%;3.523.549.439;Kritis
